Year,Month,Layer_Herd,Unit,Date,Layer_Herd_LTM,YoY_Growth_1y,YoY_Growth_2y,YoY_Growth_3y
2015,JUL,55654000,HEAD,2015-07-01,54610333.333333336,3.200563714582416,5.503213209228264,10.288930284174235
2015,AUG,55459000,HEAD,2015-08-01,54798500.0,4.244281122535298,6.808027116554971,11.74040941328176
2015,SEP,55191000,HEAD,2015-09-01,54988916.666666664,4.318980833931874,6.425114252106678,11.693279096594011
2015,OCT,55336000,HEAD,2015-10-01,55172333.333333336,4.142279100404633,7.134421405200286,12.686840711929293
2015,NOV,55420000,HEAD,2015-11-01,55343000.0,3.837218016937727,6.069015674941136,10.328077719382067
2015,DEC,56187000,HEAD,2015-12-01,55491750.0,3.2811293702437405,6.4510628623394295,9.272836889087689
2016,JAN,56517000,HEAD,2016-01-01,55660333.333333336,3.7123353029691275,5.845007116637957,10.12451043432514
2016,FEB,57073000,HEAD,2016-02-01,55873500.0,4.692286526644041,7.486157670722071,10.42682454918349
2016,MAR,56797000,HEAD,2016-03-01,55970583.333333336,2.0941184929536893,6.2142349553053755,6.968378627794425
2016,APR,56679000,HEAD,2016-04-01,56042916.666666664,1.5552489652577384,5.588777734309502,6.423448120470154
2016,MAY,56804000,HEAD,2016-05-01,56071833.333333336,0.6146270613032856,5.428831270068124,6.1499074991123726
2016,JUN,56314000,HEAD,2016-06-01,56119250.0,1.020719347026633,4.781929145579045,7.150468072151606
2016,JUL,56023000,HEAD,2016-07-01,56150000.0,0.6630251194882586,3.8848093754635826,6.20272601467271
2016,AUG,55463000,HEAD,2016-08-01,56150333.333333336,0.007212535386491581,4.25179977819965,6.815730683306365
2016,SEP,55457000,HEAD,2016-09-01,56172500.0,0.48196263883604207,4.821759346765964,6.938043541140404
2016,OCT,55263000,HEAD,2016-10-01,56166416.666666664,-0.13192135318780274,4.004893196574755,6.9930882267526195
2016,NOV,55672000,HEAD,2016-11-01,56187416.666666664,0.45470949115842263,4.309375702615603,6.551321556393419
2016,DEC,55243000,HEAD,2016-12-01,56108750.0,-1.6801039386334926,1.5458990478291135,4.662574362472061
2017,JAN,55698000,HEAD,2017-01-01,56040500.0,-1.4491215032645055,2.2094175505560143,4.3111843583788945
2017,FEB,56126000,HEAD,2017-02-01,55961583.333333336,-1.659278467927039,2.955149958726966,5.702663000489672
2017,MAR,56750000,HEAD,2017-03-01,55957666.666666664,-0.08275084951669953,2.0096347425941907,6.126341773572208
2017,APR,57070000,HEAD,2017-04-01,55990250.0,0.6898498562077693,2.255827704216018,6.317181765681168
2017,MAY,57403000,HEAD,2017-05-01,56040166.666666664,1.0545032039997126,1.6756115273571126,6.540581673750445
2017,JUN,57341000,HEAD,2017-06-01,56125750.0,1.823702809248151,2.8630370436810493,6.692840130991362
2017,JUL,57214000,HEAD,2017-07-01,56225000.0,2.1259125716223792,2.8030330254788405,6.093309597982488
2017,AUG,56989000,HEAD,2017-08-01,56352166.666666664,2.751383805419838,2.7587947853369155,7.120166914155757
2017,SEP,57638000,HEAD,2017-09-01,56533916.666666664,3.9327767459473195,4.433693899367652,8.944165123048432
2017,OCT,57128000,HEAD,2017-10-01,56689333.333333336,3.3747715469663264,3.2383981494867653,7.514820739625483
2017,NOV,57082000,HEAD,2017-11-01,56806833.333333336,2.5326914786607313,2.9989173583543804,6.9512103724799434
