Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit,Date,Avg_Weight,Month_Num,Heads_YoY_Growth,Volume_YoY_Growth,Weight_LTM_Avg
1966,OCT,208073000,HEAD,3.68,"LB / HEAD, LIVE BASIS",3.6800000000000006,"HEAD × LB / HEAD, LIVE BASIS",1966-10-01,1.7686100551248843e-08,10,9.147895968190344,0.821917808219208,1.8472816592168152e-08
1966,NOV,187929000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.6499999999999995,"HEAD × LB / HEAD, LIVE BASIS",1966-11-01,1.9422228607612447e-08,11,11.732810131097837,-0.8152173913043681,1.82680551251494e-08
1966,DEC,199242000,HEAD,3.68,"LB / HEAD, LIVE BASIS",3.6799999999999997,"HEAD × LB / HEAD, LIVE BASIS",1966-12-01,1.8470001304945744e-08,12,11.554547745023935,0.8219178082191636,1.8104208733703583e-08
1967,JAN,204671000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.6499999999999995,"HEAD × LB / HEAD, LIVE BASIS",1967-01-01,1.7833498639279623e-08,1,17.589166704968505,1.9553072625698054,1.7876325868015937e-08
1967,FEB,176884000,HEAD,3.6,"LB / HEAD, LIVE BASIS",3.6,"HEAD × LB / HEAD, LIVE BASIS",1967-02-01,2.0352321295312183e-08,2,2.4286293358040334,1.4084507042253502,1.7859263677813578e-08
1967,MAR,205022000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.58,"HEAD × LB / HEAD, LIVE BASIS",1967-03-01,1.7461540712704004e-08,3,8.860853589898788,1.4164305949008638,1.775245069688006e-08
1967,APR,196388000,HEAD,3.59,"LB / HEAD, LIVE BASIS",3.59,"HEAD × LB / HEAD, LIVE BASIS",1967-04-01,1.8280139316047822e-08,4,2.6838514025777194,0.5602240896358524,1.7720280751384394e-08
1967,MAY,231422000,HEAD,3.62,"LB / HEAD, LIVE BASIS",3.62,"HEAD × LB / HEAD, LIVE BASIS",1967-05-01,1.564241947610858e-08,5,14.954027727414964,2.259887005649741,1.75584650418615e-08
1967,JUN,232540000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.56,"HEAD × LB / HEAD, LIVE BASIS",1967-06-01,1.5309194117141137e-08,6,6.045612290966473,0.8498583569405138,1.749273795767845e-08
1967,JUL,203772000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.5599999999999996,"HEAD × LB / HEAD, LIVE BASIS",1967-07-01,1.7470506252085663e-08,7,1.0372867909559602,3.1884057971014235,1.7523087893600306e-08
1967,AUG,240230000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.5799999999999996,"HEAD × LB / HEAD, LIVE BASIS",1967-08-01,1.4902385214169753e-08,8,4.868668613610261,1.9943019943019946,1.7488090089989283e-08
1967,SEP,209473000,HEAD,3.67,"LB / HEAD, LIVE BASIS",3.67,"HEAD × LB / HEAD, LIVE BASIS",1967-09-01,1.752015772915841e-08,9,-1.7453586873927063,1.1019283746556363,1.7529207767984515e-08
1967,OCT,220140000,HEAD,3.69,"LB / HEAD, LIVE BASIS",3.69,"HEAD × LB / HEAD, LIVE BASIS",1967-10-01,1.6762060506950123e-08,10,5.799406938910856,0.27173913043476716,1.7452204430959622e-08
1967,NOV,188195000,HEAD,3.71,"LB / HEAD, LIVE BASIS",3.71,"HEAD × LB / HEAD, LIVE BASIS",1967-11-01,1.9713594941417147e-08,11,0.14154281670204494,1.6438356164383716,1.7476484958776683e-08
1967,DEC,180856000,HEAD,3.68,"LB / HEAD, LIVE BASIS",3.68,"HEAD × LB / HEAD, LIVE BASIS",1967-12-01,2.034767992214801e-08,12,-9.227974021541641,2.220446049250313e-14,1.763295817687687e-08
1968,JAN,206550000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.65,"HEAD × LB / HEAD, LIVE BASIS",1968-01-01,1.767126603727911e-08,1,0.9180587381700356,2.220446049250313e-14,1.761943879337683e-08
