Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2015,OCT,1521700000,HEAD,9425965000,"LB, LIVE BASIS",-4103253133209551616,"HEAD × LB, LIVE BASIS"
2015,NOV,1376808000,HEAD,8496263000,"LB, LIVE BASIS",-6749021205205551616,"HEAD × LB, LIVE BASIS"
2015,DEC,1475642000,HEAD,9060562000,"LB, LIVE BASIS",-5076598242905551616,"HEAD × LB, LIVE BASIS"
2014,JAN,1450565000,HEAD,8686420000,"LB, LIVE BASIS",-5846527246409551616,"HEAD × LB, LIVE BASIS"
2014,FEB,1365657000,HEAD,8192102000,"LB, LIVE BASIS",-7259142632695551616,"HEAD × LB, LIVE BASIS"
2014,MAR,1413661000,HEAD,8436801000,"LB, LIVE BASIS",-6519967535248551616,"HEAD × LB, LIVE BASIS"
2014,APR,1460014000,HEAD,8731901000,"LB, LIVE BASIS",-5698046367095551616,"HEAD × LB, LIVE BASIS"
2014,MAY,1463779000,HEAD,8724817000,"LB, LIVE BASIS",-5675540170266551616,"HEAD × LB, LIVE BASIS"
2014,JUN,1461207000,HEAD,8737403000,"LB, LIVE BASIS",-5679589648288551616,"HEAD × LB, LIVE BASIS"
2014,JUL,1521554000,HEAD,9045543000,"LB, LIVE BASIS",-4683461939887551616,"HEAD × LB, LIVE BASIS"
2014,AUG,1457567000,HEAD,8706349000,"LB, LIVE BASIS",-5756657080826551616,"HEAD × LB, LIVE BASIS"
2014,SEP,1500338000,HEAD,8984802000,"LB, LIVE BASIS",-4966504210633551616,"HEAD × LB, LIVE BASIS"
2014,OCT,1578384000,HEAD,9583385000,"LB, LIVE BASIS",-3320482523869551616,"HEAD × LB, LIVE BASIS"
2014,NOV,1316522000,HEAD,7990244000,"LB, LIVE BASIS",-7927412062341551616,"HEAD × LB, LIVE BASIS"
2014,DEC,1494243000,HEAD,9099772000,"LB, LIVE BASIS",-4849473461113551616,"HEAD × LB, LIVE BASIS"
2013,JAN,1510996000,HEAD,8923739000,"LB, LIVE BASIS",-4963010139665551616,"HEAD × LB, LIVE BASIS"
2013,FEB,1332685000,HEAD,7857613000,"LB, LIVE BASIS",-7975021092804551616,"HEAD × LB, LIVE BASIS"
2013,MAR,1392467000,HEAD,8163072000,"LB, LIVE BASIS",-7079935695085551616,"HEAD × LB, LIVE BASIS"
2013,APR,1481169000,HEAD,8721035000,"LB, LIVE BASIS",-5529417383794551616,"HEAD × LB, LIVE BASIS"
2013,MAY,1526695000,HEAD,8950243000,"LB, LIVE BASIS",-4782452836824551616,"HEAD × LB, LIVE BASIS"
2013,JUN,1394115000,HEAD,8200951000,"LB, LIVE BASIS",-7013675270344551616,"HEAD × LB, LIVE BASIS"
2013,JUL,1531750000,HEAD,8945029000,"LB, LIVE BASIS",-4745195902959551616,"HEAD × LB, LIVE BASIS"
2013,AUG,1526671000,HEAD,8999946000,"LB, LIVE BASIS",-4706787513943551616,"HEAD × LB, LIVE BASIS"
2013,SEP,1423676000,HEAD,8464603000,"LB, LIVE BASIS",-6395891933081551616,"HEAD × LB, LIVE BASIS"
2013,OCT,1574133000,HEAD,9450325000,"LB, LIVE BASIS",-3570675630484551616,"HEAD × LB, LIVE BASIS"
2013,NOV,1338747000,HEAD,8049152000,"LB, LIVE BASIS",-7670965981165551616,"HEAD × LB, LIVE BASIS"
2013,DEC,1409414000,HEAD,8425719000,"LB, LIVE BASIS",-6571417755043551616,"HEAD × LB, LIVE BASIS"
2012,JAN,1452965000,HEAD,8466802000,"LB, LIVE BASIS",-6144777105779551616,"HEAD × LB, LIVE BASIS"
2012,FEB,1381552000,HEAD,8045492000,"LB, LIVE BASIS",-7331478510125551616,"HEAD × LB, LIVE BASIS"
2012,MAR,1435346000,HEAD,8312403000,"LB, LIVE BASIS",-6515569677271551616,"HEAD × LB, LIVE BASIS"
2012,APR,1405316000,HEAD,8169252000,"LB, LIVE BASIS",-6966363530077551616,"HEAD × LB, LIVE BASIS"
2012,MAY,1541111000,HEAD,8965141000,"LB, LIVE BASIS",-4630466662058551616,"HEAD × LB, LIVE BASIS"
2012,JUN,1451960000,HEAD,8498770000,"LB, LIVE BASIS",-6106869984509551616,"HEAD × LB, LIVE BASIS"
2012,JUL,1479136000,HEAD,8539497000,"LB, LIVE BASIS",-5815666639117551616,"HEAD × LB, LIVE BASIS"
