DATE,GLOBAL_CURNCY_SAR
2004-10-12,3.7502
2004-10-13,3.7502
2004-10-14,3.7502
2004-10-15,3.7502
2004-10-18,3.7502
2004-10-19,3.7502
2004-10-20,3.7503
2004-10-21,3.7502
2004-10-22,3.7503
2004-10-25,3.7502
2004-10-26,3.7499
2004-10-27,3.7503
2004-10-28,3.7503
2004-10-29,3.7508
2004-11-01,3.7502
2004-11-02,3.7502
2004-11-03,3.7507
2004-11-04,3.75
2004-11-05,3.7503
2004-11-08,3.7502
2004-11-09,3.7503
2004-11-10,3.7505
2004-11-11,3.7505
2004-11-12,3.7501
2004-11-15,3.7502
2004-11-16,3.7502
2004-11-17,3.7502
2004-11-18,3.7503
2004-11-19,3.7503
2004-11-22,3.7503
2004-11-23,3.7503
2004-11-24,3.7503
2004-11-25,3.7502
2004-11-26,3.7501
2004-11-29,3.7502
2004-11-30,3.7503
2004-12-01,3.7503
2004-12-02,3.7504
2004-12-03,3.7504
2004-12-06,3.7502
2004-12-07,3.7502
2004-12-08,3.7502
2004-12-09,3.7502
2004-12-10,3.7502
2004-12-13,3.7496
2004-12-14,3.7501
2004-12-15,3.7502
2004-12-16,3.7498
2004-12-17,3.75
2004-12-20,3.7502
2004-12-21,3.7502
2004-12-22,3.7503
2004-12-23,3.75
2004-12-24,3.7502
2004-12-27,3.7502
2004-12-28,3.7503
2004-12-29,3.7503
2004-12-30,3.7503
2004-12-31,3.7502
2005-01-03,3.7502
2005-01-04,3.7502
2005-01-05,3.7508
2005-01-06,3.7502
2005-01-07,3.7503
2005-01-10,3.7502
2005-01-11,3.7503
2005-01-12,3.7508
2005-01-13,3.7503
2005-01-14,3.7502
2005-01-17,3.7502
2005-01-18,3.7502
2005-01-19,3.7501
2005-01-20,3.7502
2005-01-21,3.7503
2005-01-24,3.7502
2005-01-25,3.7502
2005-01-26,3.7502
2005-01-27,3.7503
2005-01-28,3.7502
2005-01-31,3.7503
2005-02-01,3.7502
2005-02-02,3.7502
2005-02-03,3.7503
2005-02-04,3.7507
2005-02-07,3.7508
2005-02-08,3.7502
2005-02-09,3.7502
2005-02-10,3.7507
2005-02-11,3.7502
2005-02-14,3.7502
2005-02-15,3.7502
2005-02-16,3.7503
2005-02-17,3.7508
2005-02-18,3.7503
2005-02-21,3.7501
2005-02-22,3.7508
2005-02-23,3.7503
2005-02-24,3.7503
2005-02-25,3.7503
2005-02-28,3.7502
2005-03-01,3.7502
2005-03-02,3.7508
2005-03-03,3.7503
2005-03-04,3.7502
2005-03-07,3.7503
2005-03-08,3.7503
2005-03-09,3.7501
2005-03-10,3.7504
2005-03-11,3.7503
2005-03-14,3.7503
2005-03-15,3.7503
2005-03-16,3.7503
2005-03-17,3.7503
2005-03-18,3.7502
2005-03-21,3.7503
2005-03-22,3.7503
2005-03-23,3.7503
2005-03-24,3.7502
2005-03-25,3.7503
2005-03-28,3.7503
2005-03-29,3.7503
2005-03-30,3.7502
