DATE,BR_CAML3_PRICE
2020-11-06,12.05
2020-11-09,11.89
2020-11-10,11.38
2020-11-11,11.2
2020-11-12,11.15
2020-11-13,11.19
2020-11-16,11.04
2020-11-17,10.85
2020-11-18,11.18
2020-11-19,10.86
2020-11-20,11.08
2020-11-23,11.14
2020-11-24,11.44
2020-11-25,11.47
2020-11-26,11.69
2020-11-27,11.68
2020-11-30,11.14
2020-12-01,11.26
2020-12-02,11.31
2020-12-03,11.26
2020-12-04,11.4
2020-12-07,11.56
2020-12-08,11.77
2020-12-09,11.43
2020-12-10,11.5
2020-12-11,11.74
2020-12-14,11.62
2020-12-15,11.39
2020-12-16,11.72
2020-12-17,11.58
2020-12-18,11.57
2020-12-21,11.37
2020-12-22,11.38
2020-12-23,11.38
2020-12-28,11.4
2020-12-29,11.27
2020-12-30,11.07
2021-01-04,10.92
2021-01-05,11.12
2021-01-06,10.75
2021-01-07,10.92
2021-01-08,11.19
2021-01-11,11.65
2021-01-12,11.38
2021-01-13,11.57
2021-01-14,11.62
2021-01-15,11.38
2021-01-18,11.36
2021-01-19,11.04
2021-01-20,10.97
2021-01-21,10.85
2021-01-22,10.67
2021-01-26,10.58
2021-01-27,10.6
2021-01-28,10.95
2021-01-29,10.59
2021-02-01,11.11
2021-02-02,11.19
2021-02-03,11.42
2021-02-04,11.29
2021-02-05,11.37
2021-02-08,11.24
2021-02-09,11.19
2021-02-10,11.15
2021-02-11,11.35
2021-02-12,11.09
2021-02-17,11.11
2021-02-18,10.75
2021-02-19,10.63
2021-02-22,10.35
2021-02-23,10.72
2021-02-24,10.61
2021-02-25,10.55
2021-02-26,10.43
2021-03-01,10.37
2021-03-02,10.63
2021-03-03,11.23
2021-03-04,11.22
2021-03-05,11.25
2021-03-08,10.84
2021-03-09,10.79
2021-03-10,10.66
2021-03-11,10.64
2021-03-12,10.67
2021-03-15,10.88
2021-03-16,10.74
2021-03-17,10.9
2021-03-18,10.65
2021-03-19,10.77
2021-03-22,10.89
2021-03-23,10.71
2021-03-24,10.21
2021-03-25,10.31
2021-03-26,10.29
2021-03-29,10.22
2021-03-30,10.23
2021-03-31,10.23
2021-04-01,10.13
2021-04-05,10.05
2021-04-06,10.41
2021-04-07,10.2
2021-04-08,10.52
2021-04-09,10.35
2021-04-12,10.37
2021-04-13,10.64
2021-04-14,10.42
2021-04-15,10.51
2021-04-16,10.33
2021-04-19,10.45
2021-04-20,10.67
2021-04-22,10.53
2021-04-23,10.52
2021-04-26,10.59
2021-04-27,10.22
2021-04-28,10.16
2021-04-29,10.13
2021-04-30,10.01
2021-05-03,9.98
2021-05-04,9.94
2021-05-05,10.1
