DATE,US_CHICKEN_READY_TO_COOK
2022-07-28,824964.0
2022-08-04,819423.0
2022-08-11,826240.0
2022-08-18,828444.0
2022-08-22,828444.0
2022-08-25,836830.0
2022-09-01,836282.0
2022-09-08,863243.0
2022-09-15,746481.0
2022-09-22,854780.0
2022-09-29,875543.0
2022-10-06,872107.0
2022-10-13,897456.0
2022-10-20,868258.0
2022-10-27,875333.0
2022-11-03,879932.0
2022-11-10,862682.0
2022-11-17,870248.0
2022-11-24,857555.0
2022-12-01,620306.0
2022-12-08,841507.0
2022-12-15,854659.0
2022-12-22,844549.0
2022-12-29,793574.0
2023-01-05,681758.0
2023-01-12,799655.0
2023-01-19,834575.0
2023-01-26,772493.0
2023-02-02,817509.0
2023-02-09,800128.0
2023-02-16,811616.0
2023-02-23,809043.0
2023-03-02,822924.0
2023-03-09,802740.0
2023-03-16,791146.0
2023-03-23,792854.0
2023-03-30,792188.0
2023-04-06,775699.0
2023-04-13,782007.0
2023-04-20,806127.0
2023-04-27,794344.0
2023-05-04,806505.0
2023-05-11,803737.0
2023-05-18,818979.0
2023-05-25,820396.0
2023-06-01,814326.0
2023-06-08,728892.0
2023-06-15,810600.0
2023-06-22,814900.0
2023-06-29,846772.0
2023-07-06,812413.0
2023-07-13,706739.0
2023-07-20,823257.0
2023-07-27,798261.0
2023-08-03,801805.0
2023-08-10,791022.0
2023-08-17,812859.0
2023-08-24,817452.0
2023-08-31,821482.0
2023-09-07,835521.0
2023-09-14,753822.0
2023-09-21,839034.0
2023-09-28,849333.0
2023-10-05,848189.0
2023-10-12,843539.0
2023-10-19,827742.0
2023-10-26,850111.0
2023-11-02,849996.0
2023-11-09,838896.0
2023-11-16,830668.0
2023-11-23,822631.0
2023-11-30,641559.0
2023-12-07,820159.0
2023-12-14,840141.0
2023-12-21,824108.0
2023-12-28,819335.0
2024-01-04,668961.0
2024-01-11,720149.0
2024-01-18,861831.0
2024-01-25,709778.0
2024-02-01,820964.0
2024-02-08,818296.0
2024-02-15,806411.0
2024-02-22,806078.0
2024-02-29,800292.0
2024-03-07,800198.0
2024-03-14,803976.0
2024-03-21,782277.0
2024-03-28,792795.0
2024-04-04,778108.0
2024-04-11,788109.0
2024-04-18,793656.0
2024-04-25,799512.0
2024-05-02,806441.0
2024-05-09,825046.0
2024-05-16,807992.0
2024-05-23,806749.0
2024-05-30,825629.0
2024-06-06,732630.0
2024-06-13,825879.0
2024-06-20,815238.0
2024-06-27,833393.0
2024-07-04,833489.0
2024-07-11,689189.0
2024-07-18,817439.0
2024-07-25,821135.0
2024-08-01,829299.0
2024-08-08,841840.0
2024-08-15,831257.0
2024-08-22,826192.0
2024-08-29,848742.0
2024-09-05,852747.0
2024-09-12,748040.0
2024-09-19,864630.0
2024-09-26,869795.0
2024-10-03,838043.0
2024-10-10,849946.0
2024-10-17,852221.0
2024-10-24,856082.0
2024-10-31,850592.0
2024-11-07,868581.0
2024-11-14,858133.0
2024-11-21,845921.0
2024-11-28,847011.0
2024-12-05,639558.0
2024-12-12,834812.0
2024-12-19,830805.0
2024-12-26,846778.0
2025-01-02,667262.0
2025-01-09,691015.0
2025-01-16,783231.0
2025-01-23,912403.0
2025-01-30,794300.0
2025-02-06,839827.0
2025-02-13,829614.0
2025-02-20,830101.0
2025-02-27,802354.0
2025-03-06,846309.0
2025-03-13,818016.0
2025-03-20,844072.0
2025-03-27,825064.0
2025-04-03,817979.0
