Date, Composite CUTOUT VALUE, PRIME CUTOUT VALUE, BRANDED CUTOUT VALUE, CHOICE CUTOUT VALUE, SELECT CUTOUT VALUE, UNGRADED CUTOUT VALUE,Composite Primal Rib,Prime Primal Rib,Branded Primal Rib,Choice Primal Rib,Select Primal Rib,Ungraded Primal Rib,Composite Primal Chuck,Prime Primal Chuck,Branded Primal Chuck,Choice Primal Chuck,Select Primal Chuck,Ungraded Primal Chuck,Composite Primal Round,Prime Primal Round,Branded Primal Round,Choice Primal Round,Select Primal Round,Ungraded Primal Round,Composite Primal Loin,Prime Primal Loin,Branded Primal Loin,Choice Primal Loin,Select Primal Loin,Ungraded Primal Loin,Composite Primal Brisket,Prime Primal Brisket,Branded Primal Brisket,Choice Primal Brisket,Select Primal Brisket,Ungraded Primal Brisket,Composite Primal Short Plate,Prime Primal Short Plate,Branded Primal Short Plate,Choice Primal Short Plate,Select Primal Short Plate,Ungraded Primal Short Plate,Composite Primal Flank,Prime Primal Flank,Branded Primal Flank,Choice Primal Flank,Select Primal Flank,Ungraded Primal Flank,Total Volume ,Prime Volume,Branded  Volume,Choice Volume,Select Volume,"Ungraded Volume(Cuts, Trims, Grinds)",Negotiated Sales      0-21 Day,Negotiated Sales      21+ Day,Formula Sales,Forward Contract Sales,Domestic Sales,NAFTA Exports,Overseas Exports,Delivery 0-21,Delivery 22-60,Delivery 60-90,Delivery 91 and up
2009-04-10,137.17,151.56,141.21,137.16,135.65,130.2,206.69,251.47,213.86,204.79,203.76,191.79,103.77,103.52,106.11,103.49,102.86,103.07,112.68,111.92,113.04,111.9,113.47,111.61,205.66,250.9,216.25,207.92,200.77,182.86,96.78,96.45,99.58,96.44,96.61,96.87,95.58,95.58,95.58,95.58,95.58,95.58,77.52,77.63,79.8,77.63,76.05,76.99,7731,44,754,2388,1606,2938,3057,1311,3061,302,7361,152,217,,,,
2009-04-17,142.8,157.7,147.62,142.74,141.1,135.37,213.01,264.92,220.72,212.65,210.68,191.23,109.19,108.3,111.09,108.28,108.79,108.4,116.94,117.22,118.02,117.2,117.23,117.25,215.41,259.1,229.92,216.43,209.09,192.48,98.56,98.3,99.7,98.3,98.53,98.9,97.4,97.4,97.4,97.4,97.4,97.4,79.81,79.42,80.08,79.42,78.35,80.7,6588,43,694,1835,1297,2718,2533,912,2969,174,6124,250,214,,,,
2009-04-24,148.7,162.7,154.08,148.91,146.65,140.52,222.56,274.7,232.39,223.45,214.92,202.52,111.97,111.37,112.6,111.35,112.13,112.03,121.58,120.98,122.67,120.96,121.9,119.76,227.27,267.3,244.4,229.6,221.34,200.64,102.65,101.34,106.06,101.34,102.56,105.48,99.59,99.59,99.59,99.59,99.59,99.59,82.16,82.22,83.32,82.24,81.1,81.63,6818,37,626,1807,1411,2936,2478,940,3199,201,6401,262,156,,,,
2009-05-01,149.27,159.46,154.94,149.67,146.21,138.25,228.68,256.4,237.98,228.94,221.71,201.91,109.54,109.56,110.46,109.55,109.03,106.86,118.0,117.08,119.95,117.07,117.66,116.33,233.8,268.12,251.67,236.57,224.8,201.14,102.32,101.43,103.48,101.42,101.66,105.51,99.79,99.79,99.79,99.79,99.79,99.79,82.66,83.69,84.81,83.74,79.69,80.87,7290,76,664,2230,1242,3077,3086,682,3258,263,6660,332,298,,,,
2009-05-08,144.52,155.97,151.45,145.37,143.01,132.26,219.51,248.33,230.34,218.6,215.75,193.48,104.99,105.46,106.31,105.44,104.24,102.61,112.0,111.71,115.34,111.68,112.56,107.49,229.03,267.3,249.77,233.19,224.92,193.27,103.68,103.31,105.66,103.31,103.2,104.44,99.14,99.14,99.14,99.14,99.14,99.14,81.88,82.62,84.03,82.63,79.05,79.85,8032,44,743,2410,1516,3319,3575,1051,3245,161,7455,315,262,,,,
2009-05-15,143.83,156.59,150.63,145.19,142.17,131.41,216.52,260.17,225.96,216.44,213.41,184.73,106.05,105.84,107.71,105.81,104.9,104.49,113.14,112.9,114.66,112.9,113.83,110.08,225.52,262.88,247.69,232.45,220.9,189.08,101.8,101.75,104.28,101.75,100.5,103.41,98.75,98.75,98.75,98.75,98.75,98.75,80.18,80.97,82.66,80.97,77.86,78.88,8226,61,794,2514,1473,3385,3403,1023,3429,371,7338,404,483,,,,
2009-05-23,144.52,158.55,150.38,146.26,141.34,133.09,213.24,258.38,222.71,215.36,209.43,177.65,108.53,108.86,108.68,108.81,107.95,107.38,114.4,114.05,116.07,114.02,113.32,119.79,225.59,267.51,246.01,232.53,215.11,186.43,102.26,102.13,101.58,102.12,101.94,104.32,98.82,98.82,98.82,98.82,98.82,98.82,80.13,81.34,82.59,81.34,77.25,77.73,7879,47,740,2299,1546,3248,2928,1367,3288,296,7183,277,419,,,,
2009-05-29,142.73,156.82,150.66,145.55,139.03,129.75,213.38,261.5,222.88,216.42,209.72,175.69,107.0,107.2,108.0,107.18,105.94,106.82,112.57,113.21,114.86,113.19,111.4,111.93,221.51,261.18,249.17,232.06,209.5,181.83,102.66,102.59,104.91,102.59,101.52,102.83,97.54,97.54,97.54,97.54,97.54,97.54,80.06,81.5,82.41,81.5,76.79,76.49,6717,44,627,1713,1495,2839,2737,808,3007,164,6114,365,237,,,,
2009-06-05,139.81,154.54,148.37,142.38,136.47,127.51,212.09,258.26,219.99,212.48,208.65,175.67,103.86,103.91,105.74,103.88,103.13,103.37,111.87,111.34,113.88,111.33,111.32,111.6,215.13,260.27,245.71,227.38,203.33,177.6,101.28,100.91,103.04,100.91,101.03,101.81,94.23,94.23,94.23,94.23,94.23,94.23,79.15,81.07,81.81,81.06,76.14,77.34,7879,66,691,2070,1615,3436,3574,942,3197,166,7248,282,349,,,,
2009-06-12,137.31,154.71,145.07,139.59,132.99,126.36,208.63,260.7,215.16,208.24,204.92,173.74,104.67,104.57,106.61,104.56,103.57,104.42,111.19,110.87,112.53,110.85,111.07,108.92,206.05,260.83,233.95,217.5,189.87,175.63,98.05,97.01,101.15,97.01,98.19,100.88,92.56,92.56,92.56,92.56,92.56,92.56,79.36,81.13,81.89,81.12,75.41,75.66,8057,53,753,2362,1623,3266,3366,1308,3155,229,7510,235,312,,,,
2009-06-19,137.72,153.84,145.29,139.59,133.08,128.26,205.99,255.82,214.13,208.23,205.0,178.99,106.94,106.73,108.96,106.67,105.27,105.71,111.59,111.12,113.2,111.07,111.26,111.44,205.36,255.56,231.49,213.82,187.09,177.15,99.45,98.5,100.72,98.5,99.86,100.07,92.66,92.66,92.66,92.66,92.66,92.66,79.79,81.92,82.57,81.91,76.32,77.89,7781,53,800,1849,1654,3426,2974,1013,3482,312,7138,431,212,,,,
2009-06-26,138.07,154.02,144.47,139.41,133.38,129.26,210.72,254.38,213.92,209.91,207.5,181.77,107.63,107.4,108.68,107.28,107.05,107.41,112.0,112.02,113.64,111.99,111.47,113.93,203.39,255.47,227.81,210.46,184.95,175.72,99.05,98.49,100.37,98.49,98.9,100.22,92.01,92.01,92.01,92.01,92.01,92.01,79.76,82.01,83.55,82.01,76.18,76.97,6757,53,713,1729,1213,3049,2745,583,3284,146,6269,249,239,,,,
2009-07-03,137.63,156.29,144.03,138.91,132.97,128.61,209.97,264.38,216.48,209.52,205.89,183.9,108.32,108.24,109.76,108.21,107.63,108.26,112.52,112.44,114.16,112.41,111.9,110.67,200.71,259.52,222.39,206.85,183.27,174.6,96.76,97.04,100.39,97.04,96.4,96.77,91.95,91.95,91.95,91.95,91.95,91.95,80.29,82.43,82.99,82.43,75.91,77.13,6179,31,609,1647,1355,2537,2431,690,2736,323,5881,121,177,,,,
2009-07-10,136.65,156.2,142.42,137.69,132.01,128.88,209.71,266.84,215.89,210.94,199.54,186.46,107.92,107.63,108.8,107.58,107.46,107.79,112.6,112.26,113.67,112.24,112.44,110.99,196.71,259.13,217.25,201.64,181.69,174.45,97.34,96.72,99.63,96.72,97.09,98.78,91.78,91.78,91.78,91.78,91.78,91.78,79.54,81.57,82.86,81.56,75.97,76.79,7921,72,783,2175,1451,3440,3298,913,3509,201,7299,215,407,,,,
2009-07-17,136.18,157.4,141.81,137.07,131.26,129.49,208.22,272.36,217.55,210.59,197.16,189.12,107.59,107.69,108.68,107.64,106.87,107.39,111.63,111.29,112.39,111.28,111.6,111.76,196.07,262.18,214.7,199.24,180.23,175.0,97.58,96.96,98.29,96.96,97.8,98.43,93.46,93.46,93.46,93.46,93.46,93.46,79.99,81.33,83.14,81.32,77.1,77.65,7968,55,808,2126,1854,3125,3235,1269,3232,233,7459,257,252,,,,
2009-07-24,139.03,161.46,145.03,140.58,134.62,134.77,214.32,286.35,224.52,217.62,201.97,193.45,110.5,109.9,113.03,109.87,109.27,109.72,115.15,114.97,115.33,114.96,114.78,126.24,196.9,265.28,215.71,203.45,184.98,177.65,99.2,98.69,99.46,98.69,99.68,99.23,95.78,95.78,95.78,95.78,95.78,95.78,82.72,83.97,84.61,83.95,80.72,80.3,7097,35,647,1876,1412,3126,2735,1039,3115,208,6426,355,316,,,,
2009-07-31,140.89,162.68,146.8,142.37,136.15,133.69,219.12,285.44,231.21,222.87,205.8,198.77,110.78,111.08,112.18,111.06,109.71,109.62,116.35,116.05,117.85,116.01,115.79,116.24,200.35,267.66,217.74,205.24,187.47,179.08,100.21,99.9,101.3,99.89,100.25,100.7,96.84,96.84,96.84,96.84,96.84,96.84,85.91,86.84,87.43,86.84,83.97,84.57,7107,41,650,1810,1714,2892,2810,832,3085,380,6546,295,266,,,,
