CostName,R$_kg,Year,State,Month,Date
Total,1.32,2010,MS,7,2010-07-01
Ração,0.92,2010,MS,8,2010-08-01
Genética,0.18,2010,MS,8,2010-08-01
Mão de obra,0.06,2010,MS,8,2010-08-01
Sanidade,0.0,2010,MS,8,2010-08-01
Energia elétrica | Cama | Calefação,0.07,2010,MS,8,2010-08-01
Manutenção | Seguro | Funrural,0.01,2010,MS,8,2010-08-01
Transporte,0.03,2010,MS,8,2010-08-01
Outros,0.0,2010,MS,8,2010-08-01
Depreciação,0.04,2010,MS,8,2010-08-01
Custo de capital,0.03,2010,MS,8,2010-08-01
Total,1.34,2010,MS,8,2010-08-01
Ração,0.94,2010,MS,9,2010-09-01
Genética,0.18,2010,MS,9,2010-09-01
Mão de obra,0.06,2010,MS,9,2010-09-01
Sanidade,0.0,2010,MS,9,2010-09-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,9,2010-09-01
Manutenção | Seguro | Funrural,0.01,2010,MS,9,2010-09-01
Transporte,0.03,2010,MS,9,2010-09-01
Outros,0.0,2010,MS,9,2010-09-01
Depreciação,0.04,2010,MS,9,2010-09-01
Custo de capital,0.03,2010,MS,9,2010-09-01
Total,1.37,2010,MS,9,2010-09-01
Ração,1.05,2010,MS,10,2010-10-01
Genética,0.18,2010,MS,10,2010-10-01
Mão de obra,0.06,2010,MS,10,2010-10-01
Sanidade,0.0,2010,MS,10,2010-10-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,10,2010-10-01
Manutenção | Seguro | Funrural,0.01,2010,MS,10,2010-10-01
Transporte,0.03,2010,MS,10,2010-10-01
Outros,0.0,2010,MS,10,2010-10-01
Depreciação,0.04,2010,MS,10,2010-10-01
Custo de capital,0.03,2010,MS,10,2010-10-01
Total,1.47,2010,MS,10,2010-10-01
Ração,1.08,2010,MS,11,2010-11-01
Genética,0.18,2010,MS,11,2010-11-01
Mão de obra,0.06,2010,MS,11,2010-11-01
Sanidade,0.0,2010,MS,11,2010-11-01
Energia elétrica | Cama | Calefação,0.06,2010,MS,11,2010-11-01
Manutenção | Seguro | Funrural,0.01,2010,MS,11,2010-11-01
Transporte,0.03,2010,MS,11,2010-11-01
Outros,0.0,2010,MS,11,2010-11-01
