DATE,GLOBAL_CURNCY_ARS
2006-05-30,3.0885
2006-05-31,3.0863
2006-06-01,3.0795
2006-06-02,3.0785
2006-06-05,3.08
2006-06-06,3.0825
2006-06-07,3.0805
2006-06-08,3.083
2006-06-09,3.0825
2006-06-12,3.0815
2006-06-13,3.0813
2006-06-14,3.0795
2006-06-15,3.079
2006-06-16,3.0795
2006-06-19,3.0788
2006-06-20,3.0788
2006-06-21,3.0763
2006-06-22,3.0775
2006-06-23,3.081
2006-06-26,3.086
2006-06-27,3.084
2006-06-28,3.0885
2006-06-29,3.0885
2006-06-30,3.0855
2006-07-03,3.084
2006-07-04,3.084
2006-07-05,3.0863
2006-07-06,3.086
2006-07-07,3.0863
2006-07-10,3.0863
2006-07-11,3.0845
2006-07-12,3.082
2006-07-13,3.0835
2006-07-14,3.083
2006-07-17,3.0813
2006-07-18,3.0813
2006-07-19,3.0788
2006-07-20,3.0813
2006-07-21,3.0816
2006-07-24,3.0795
2006-07-25,3.0762
2006-07-26,3.074
2006-07-27,3.0762
2006-07-28,3.077
2006-07-31,3.0723
2006-08-01,3.0712
2006-08-02,3.0732
2006-08-03,3.069
2006-08-04,3.069
2006-08-07,3.0715
2006-08-08,3.0725
2006-08-09,3.0695
2006-08-10,3.0685
2006-08-11,3.0705
2006-08-14,3.0767
2006-08-15,3.08
2006-08-16,3.0745
2006-08-17,3.0802
2006-08-18,3.0822
2006-08-21,3.081
2006-08-22,3.085
2006-08-23,3.0863
2006-08-24,3.086
2006-08-25,3.0923
2006-08-28,3.0965
2006-08-29,3.0943
2006-08-30,3.0983
2006-08-31,3.0975
2006-09-01,3.0945
2006-09-04,3.0927
2006-09-05,3.0995
2006-09-06,3.1027
2006-09-07,3.0988
2006-09-08,3.1005
2006-09-11,3.104
2006-09-12,3.1063
2006-09-13,3.1038
2006-09-14,3.1
2006-09-15,3.097
