Year,Month,Heads,Heads Unit
1976,AUG,616812000,HEAD
1976,SEP,603346000,HEAD
1976,OCT,576872000,HEAD
1976,NOV,525932000,HEAD
1976,DEC,541858000,HEAD
1975,JAN,508692000,HEAD
1975,FEB,449200000,HEAD
1975,MAR,483138000,HEAD
1975,APR,533598000,HEAD
1975,MAY,533476000,HEAD
1975,JUN,532920000,HEAD
1975,JUL,558866000,HEAD
1975,AUG,534008000,HEAD
1975,SEP,532476000,HEAD
1975,OCT,569842000,HEAD
1975,NOV,431646000,HEAD
1975,DEC,526998000,HEAD
1974,JAN,557716000,HEAD
1974,FEB,479638000,HEAD
1974,MAR,517230000,HEAD
1974,APR,530402000,HEAD
1974,MAY,582952000,HEAD
1974,JUN,533966000,HEAD
1974,JUL,561670000,HEAD
1974,AUG,561280000,HEAD
1974,SEP,473922000,HEAD
1974,OCT,524888000,HEAD
1974,NOV,411220000,HEAD
1974,DEC,452622000,HEAD
1973,JAN,530574000,HEAD
1973,FEB,467496000,HEAD
1973,MAR,506282000,HEAD
1973,APR,484718000,HEAD
1973,MAY,564600000,HEAD
1973,JUN,546226000,HEAD
1973,JUL,541426000,HEAD
1973,AUG,554908000,HEAD
1973,SEP,476686000,HEAD
1973,OCT,569938000,HEAD
1973,NOV,495528000,HEAD
1973,DEC,456084000,HEAD
1972,JAN,498822000,HEAD
1972,FEB,488854000,HEAD
1972,MAR,531496000,HEAD
1972,APR,503600000,HEAD
1972,MAY,564116000,HEAD
1972,JUN,567882000,HEAD
1972,JUL,503506000,HEAD
1972,AUG,588032000,HEAD
1972,SEP,504056000,HEAD
1972,OCT,541842000,HEAD
1972,NOV,489702000,HEAD
1972,DEC,462038000,HEAD
1971,JAN,463368000,HEAD
1971,FEB,444058000,HEAD
1971,MAR,511074000,HEAD
1971,APR,493486000,HEAD
1971,MAY,482442000,HEAD
1971,JUN,537332000,HEAD
1971,JUL,508678000,HEAD
1971,AUG,540000000,HEAD
1971,SEP,510848000,HEAD
1971,OCT,498592000,HEAD
1971,NOV,458416000,HEAD
1971,DEC,476036000,HEAD
1970,JAN,470800000,HEAD
1970,FEB,435460000,HEAD
1970,MAR,479758000,HEAD
1970,APR,519922000,HEAD
1970,MAY,500054000,HEAD
1970,JUN,548954000,HEAD
1970,JUL,542780000,HEAD
1970,AUG,509730000,HEAD
1970,SEP,502370000,HEAD
1970,OCT,508938000,HEAD
1970,NOV,417104000,HEAD
1970,DEC,456714000,HEAD
1969,JAN,446228000,HEAD
1969,FEB,376000000,HEAD
