Year,Month,Heads,Unit
1963,DEC,158193000,HEAD
1962,JAN,134713000,HEAD
1962,FEB,118224000,HEAD
1962,MAR,143983000,HEAD
1962,APR,151711000,HEAD
1962,MAY,183633000,HEAD
1962,JUN,180066000,HEAD
1962,JUL,172714000,HEAD
1962,AUG,181488000,HEAD
1962,SEP,150425000,HEAD
1962,OCT,178276000,HEAD
1962,NOV,148552000,HEAD
1962,DEC,140890000,HEAD
1961,JAN,129916000,HEAD
1961,FEB,111446000,HEAD
1961,MAR,141697000,HEAD
1961,APR,149624000,HEAD
1961,MAY,178754000,HEAD
1961,JUN,188457000,HEAD
1961,JUL,174223000,HEAD
1961,AUG,184990000,HEAD
1961,SEP,165865000,HEAD
1961,OCT,166494000,HEAD
1961,NOV,133468000,HEAD
1961,DEC,120125000,HEAD
1960,JAN,113232000,HEAD
1960,FEB,113232000,HEAD
1960,MAR,126601000,HEAD
1960,APR,129082000,HEAD
1960,MAY,142033000,HEAD
1960,JUN,149219000,HEAD
1960,JUL,145811000,HEAD
1960,AUG,173305000,HEAD
1960,SEP,154777000,HEAD
1960,OCT,145929000,HEAD
1960,NOV,127736000,HEAD
1960,DEC,123069000,HEAD
