DATE,BR_SOY_PRIMAVERA_DO_LESTE_PRICE
2018-10-16,69.61
2018-10-17,70.78
2018-10-18,68.19
2018-10-19,67.43
2018-10-22,66.08
2018-10-23,67.28
2018-10-24,66.8
2018-10-25,66.69
2018-10-26,65.56
2018-10-29,64.44
2018-10-30,65.26
2018-10-31,65.51
2018-11-01,65.52
2018-11-05,64.97
2018-11-06,65.68
2018-11-07,65.79
2018-11-08,65.24
2018-11-09,64.42
2018-11-12,64.0
2018-11-13,63.85
2018-11-14,64.19
2018-11-16,64.0
2018-11-19,63.0
2018-11-20,62.67
2018-11-21,63.4
2018-11-22,64.69
2018-11-23,62.5
2018-11-26,61.96
2018-11-27,62.94
