memberStateCode,memberStateName,year,month,category,tonnes,heads,kgPerHead
AT,Austria,2009,March,Bull,10.1,26.53,380.7
AT,Austria,2009,February,Bull,8.39,22.09,379.81
AT,Austria,2009,January,Bull,9.11,23.96,380.22
AT,Austria,2008,December,Bull,10.39,27.29,380.73
AT,Austria,2008,November,Bull,8.68,22.94,378.38
AT,Austria,2008,October,Bull,10.44,27.68,377.17
AT,Austria,2008,September,Bull,10.67,28.07,380.12
AT,Austria,2008,August,Bull,9.05,23.72,381.53
AT,Austria,2008,July,Bull,8.67,22.75,381.1
AT,Austria,2008,June,Bull,10.2,26.55,384.18
AT,Austria,2008,May,Bull,9.33,24.21,385.38
AT,Austria,2008,April,Bull,10.09,26.25,384.38
AT,Austria,2008,March,Bull,9.2,24.04,382.7
AT,Austria,2008,February,Bull,9.18,24.14,380.28
AT,Austria,2008,January,Bull,9.5,24.76,383.68
AT,Austria,2007,December,Bull,9.68,25.1,385.66
AT,Austria,2007,November,Bull,9.94,26.01,382.16
AT,Austria,2007,October,Bull,10.27,26.72,384.36
AT,Austria,2007,September,Bull,9.69,25.09,386.21
AT,Austria,2007,August,Bull,10.18,26.14,389.44
AT,Austria,2007,July,Bull,8.56,22.03,388.56
AT,Austria,2007,June,Bull,8.66,22.32,387.99
AT,Austria,2007,May,Bull,8.89,22.95,387.36
AT,Austria,2007,April,Bull,8.23,21.24,387.48
AT,Austria,2007,March,Bull,9.5,24.51,387.6
AT,Austria,2007,February,Bull,8.03,20.79,386.24
AT,Austria,2007,January,Bull,8.79,22.85,384.68
AT,Austria,2006,December,Bull,9.21,24.26,379.64
AT,Austria,2006,November,Bull,9.44,24.94,378.51
AT,Austria,2006,October,Bull,9.66,25.48,379.12
AT,Austria,2006,September,Bull,8.89,23.44,379.27
AT,Austria,2006,August,Bull,9.31,24.7,376.92
AT,Austria,2006,July,Bull,7.75,20.65,375.3
AT,Austria,2006,June,Bull,9.15,24.19,378.26
AT,Austria,2006,May,Bull,10.12,26.76,378.18
AT,Austria,2006,April,Bull,7.84,20.74,378.01
AT,Austria,2006,March,Bull,9.39,24.97,376.05
AT,Austria,2006,February,Bull,7.47,19.84,376.51
AT,Austria,2006,January,Bull,8.93,23.59,378.55
AT,Austria,2005,December,Bull,8.87,23.53,376.97
AT,Austria,2005,November,Bull,9.32,24.9,374.3
AT,Austria,2005,October,Bull,9.58,25.61,374.07
AT,Austria,2005,September,Bull,8.96,23.92,374.58
AT,Austria,2005,August,Bull,9.45,25.22,374.7
AT,Austria,2005,July,Bull,7.5,20.19,371.47
AT,Austria,2005,June,Bull,8.91,23.86,373.43
AT,Austria,2005,May,Bull,9.0,24.29,370.52
AT,Austria,2005,April,Bull,9.1,24.55,370.67
AT,Austria,2005,March,Bull,9.12,24.56,371.34
AT,Austria,2005,February,Bull,7.16,19.26,371.75
AT,Austria,2005,January,Bull,7.91,21.16,373.82
AT,Austria,2004,December,Bull,8.55,23.49,363.98
AT,Austria,2004,November,Bull,9.12,24.95,365.53
AT,Austria,2004,October,Bull,8.83,24.11,366.24
AT,Austria,2004,September,Bull,8.92,24.2,368.6
AT,Austria,2004,August,Bull,8.6,23.35,368.31
AT,Austria,2004,July,Bull,8.22,22.26,369.27
AT,Austria,2004,June,Bull,9.98,26.87,371.42
AT,Austria,2004,May,Bull,8.33,22.18,375.56
AT,Austria,2004,April,Bull,8.08,21.63,373.56
AT,Austria,2004,March,Bull,9.98,26.39,378.17
AT,Austria,2004,February,Bull,7.71,20.38,378.31
AT,Austria,2004,January,Bull,8.19,21.68,377.77
AT,Austria,2003,December,Bull,8.86,23.52,376.7
AT,Austria,2003,November,Bull,8.44,22.42,376.45
AT,Austria,2003,October,Bull,9.1,24.39,373.1
AT,Austria,2003,September,Bull,9.49,25.44,373.03
AT,Austria,2003,August,Bull,8.1,21.88,370.2
AT,Austria,2003,July,Bull,8.35,22.5,371.11
AT,Austria,2003,June,Bull,8.27,22.17,373.03
AT,Austria,2003,May,Bull,8.43,22.55,373.84
AT,Austria,2003,April,Bull,7.92,21.17,374.11
AT,Austria,2003,March,Bull,8.41,22.42,375.11
AT,Austria,2003,February,Bull,7.52,20.21,372.09
AT,Austria,2003,January,Bull,8.23,22.17,371.22
AT,Austria,2002,December,Bull,8.53,23.08,369.58
AT,Austria,2002,November,Bull,8.31,22.65,366.89
AT,Austria,2002,October,Bull,9.35,25.55,365.95
AT,Austria,2002,September,Bull,9.04,24.72,365.7
AT,Austria,2002,August,Bull,8.45,23.12,365.48
AT,Austria,2002,July,Bull,9.13,25.01,365.05
AT,Austria,2002,June,Bull,8.48,23.03,368.22
AT,Austria,2002,May,Bull,9.21,24.86,370.47
AT,Austria,2002,April,Bull,9.14,24.59,371.7
AT,Austria,2002,March,Bull,8.89,23.91,371.81
AT,Austria,2002,February,Bull,7.57,20.34,372.17
AT,Austria,2002,January,Bull,8.55,23.09,370.29
AT,Austria,2001,December,Bull,8.31,22.51,369.17
AT,Austria,2001,November,Bull,9.24,25.14,367.54
AT,Austria,2001,October,Bull,9.31,25.43,366.1
AT,Austria,2001,September,Bull,8.69,23.49,369.94
AT,Austria,2001,August,Bull,8.66,23.51,368.35
AT,Austria,2001,July,Bull,9.11,24.62,370.02
AT,Austria,2001,June,Bull,8.69,23.34,372.32
AT,Austria,2001,May,Bull,9.34,25.05,372.85
AT,Austria,2001,April,Bull,9.14,24.31,375.98
AT,Austria,2001,March,Bull,10.2,27.05,377.08
AT,Austria,2001,February,Bull,8.52,22.56,377.66
AT,Austria,2001,January,Bull,6.51,17.43,373.49
AT,Austria,2000,December,Bull,6.7,18.09,370.37
AT,Austria,2000,November,Bull,7.96,21.59,368.69
AT,Austria,2000,October,Bull,9.59,26.17,366.45
AT,Austria,2000,September,Bull,9.39,25.44,369.1
AT,Austria,2000,August,Bull,9.43,25.65,367.64
AT,Austria,2000,July,Bull,9.4,25.52,368.34
AT,Austria,2000,June,Bull,9.07,24.51,370.05
AT,Austria,2000,May,Bull,10.09,27.22,370.68
AT,Austria,2000,April,Bull,8.02,21.54,372.33
AT,Austria,2000,March,Bull,9.8,26.34,372.06
AT,Austria,2000,February,Bull,8.68,23.32,372.21
AT,Austria,2000,January,Bull,8.53,22.87,372.98
AT,Austria,1999,December,Bull,9.85,26.63,369.88
AT,Austria,1999,November,Bull,9.79,26.49,369.57
AT,Austria,1999,October,Bull,9.12,24.67,369.68
AT,Austria,1999,September,Bull,10.05,27.17,369.89
AT,Austria,1999,August,Bull,9.43,25.5,369.8
AT,Austria,1999,July,Bull,9.46,25.42,372.15
AT,Austria,1999,June,Bull,9.45,25.31,373.37
AT,Austria,1999,May,Bull,9.26,24.82,373.09
AT,Austria,1999,April,Bull,8.72,23.28,374.57
AT,Austria,1999,March,Bull,9.65,25.86,373.16
AT,Austria,1999,February,Bull,7.41,19.95,371.43
AT,Austria,1999,January,Bull,7.98,21.55,370.3
AT,Austria,1998,December,Bull,9.33,25.45,366.6
AT,Austria,1998,November,Bull,9.09,24.86,365.65
AT,Austria,1998,October,Bull,8.81,24.26,363.15
AT,Austria,1998,September,Bull,9.53,26.06,365.69
AT,Austria,1998,August,Bull,7.64,20.88,365.9
AT,Austria,1998,July,Bull,9.08,24.88,364.95
AT,Austria,1998,June,Bull,9.3,25.32,367.3
AT,Austria,1998,May,Bull,8.88,24.15,367.7
AT,Austria,1998,April,Bull,8.59,23.33,368.2
AT,Austria,1998,March,Bull,9.31,25.14,370.33
AT,Austria,1998,February,Bull,7.1,19.25,368.83
AT,Austria,1998,January,Bull,8.28,22.55,367.18
AT,Austria,1997,December,Bull,8.99,24.88,361.33
AT,Austria,1997,November,Bull,8.17,22.68,360.23
AT,Austria,1997,October,Bull,9.43,26.49,355.98
AT,Austria,1997,September,Bull,9.2,25.89,355.35
AT,Austria,1997,August,Bull,8.5,23.9,355.65
AT,Austria,1997,July,Bull,9.73,27.26,356.93
AT,Austria,1997,June,Bull,9.62,26.81,358.82
AT,Austria,1997,May,Bull,9.35,25.96,360.17
AT,Austria,1997,April,Bull,10.2,28.13,362.6
AT,Austria,1997,March,Bull,8.77,24.36,360.02
AT,Austria,1997,February,Bull,7.61,21.1,360.66
AT,Austria,1997,January,Bull,8.96,24.71,362.61
AT,Austria,1996,December,Bull,9.13,25.44,358.88
AT,Austria,1996,November,Bull,9.62,26.88,357.89
AT,Austria,1996,October,Bull,10.16,28.49,356.62
AT,Austria,1996,September,Bull,10.28,28.49,360.83
AT,Austria,1996,August,Bull,11.11,30.62,362.83
AT,Austria,1996,July,Bull,10.66,29.15,365.69
AT,Austria,1996,June,Bull,11.28,30.39,371.17
AT,Austria,1996,May,Bull,12.43,33.16,374.85
AT,Austria,1996,April,Bull,8.57,22.77,376.37
AT,Austria,1996,March,Bull,9.47,25.2,375.79
AT,Austria,1996,February,Bull,8.99,24.0,374.58
AT,Austria,1996,January,Bull,9.53,25.47,374.17
AT,Austria,1995,December,Bull,8.89,23.88,372.28
AT,Austria,1995,November,Bull,10.02,27.06,370.29
AT,Austria,1995,October,Bull,10.47,28.55,366.73
AT,Austria,1995,September,Bull,10.02,27.25,367.71
AT,Austria,1995,August,Bull,11.17,30.19,369.99
AT,Austria,1995,July,Bull,9.33,25.0,373.2
AT,Austria,1995,June,Bull,10.65,28.44,374.47
AT,Austria,1995,May,Bull,10.82,28.74,376.48
AT,Austria,1995,April,Bull,8.94,23.92,373.75
AT,Austria,1995,March,Bull,9.76,26.1,373.95
AT,Austria,1995,February,Bull,8.14,21.74,374.43
AT,Austria,1995,January,Bull,8.05,21.64,372.0
AT,Austria,2025,February,Bullock,1.11,3.06,362.75
AT,Austria,2025,January,Bullock,1.1,2.99,367.89
AT,Austria,2024,December,Bullock,1.2,3.31,362.54
AT,Austria,2024,November,Bullock,1.53,4.27,358.31
AT,Austria,2024,October,Bullock,1.43,3.96,361.11
AT,Austria,2024,September,Bullock,1.23,3.34,368.26
AT,Austria,2024,August,Bullock,0.78,2.11,369.67
AT,Austria,2024,July,Bullock,0.87,2.36,368.64
AT,Austria,2024,June,Bullock,0.93,2.5,372.0
AT,Austria,2024,May,Bullock,1.26,3.4,370.59
AT,Austria,2024,April,Bullock,1.33,3.63,366.39
AT,Austria,2024,March,Bullock,1.36,3.72,365.59
AT,Austria,2024,February,Bullock,1.1,3.04,361.84
AT,Austria,2024,January,Bullock,1.15,3.15,365.08
AT,Austria,2023,December,Bullock,1.22,3.36,363.1
AT,Austria,2023,November,Bullock,1.57,4.41,356.01
AT,Austria,2023,October,Bullock,1.26,3.53,356.94
AT,Austria,2023,September,Bullock,1.07,2.93,365.19
AT,Austria,2023,August,Bullock,0.89,2.44,364.75
AT,Austria,2023,July,Bullock,0.84,2.32,362.07
AT,Austria,2023,June,Bullock,0.96,2.59,370.66
AT,Austria,2023,May,Bullock,1.28,3.47,368.88
AT,Austria,2023,April,Bullock,1.15,3.13,367.41
AT,Austria,2023,March,Bullock,1.47,4.04,363.86
AT,Austria,2023,February,Bullock,1.06,2.93,361.77
AT,Austria,2023,January,Bullock,1.14,3.14,363.06
AT,Austria,2022,December,Bullock,1.21,3.37,359.05
AT,Austria,2022,November,Bullock,1.38,3.88,355.67
