DATE,GLOBAL_CURNCY_MXN
2005-04-12,11.075
2005-04-13,11.072
2005-04-14,11.1342
2005-04-15,11.115
2005-04-18,11.1083
2005-04-19,11.0712
2005-04-20,11.0675
2005-04-21,11.025
2005-04-22,11.0625
2005-04-25,11.0545
2005-04-26,11.087
2005-04-27,11.096
2005-04-28,11.1543
2005-04-29,11.0477
2005-05-02,11.046
2005-05-03,10.9983
2005-05-04,10.9595
2005-05-05,10.923
2005-05-06,10.95
2005-05-09,10.9639
2005-05-10,11.0478
2005-05-11,11.0004
2005-05-12,11.008
2005-05-13,11.0143
2005-05-16,11.0105
2005-05-17,10.9945
2005-05-18,10.927
2005-05-19,10.966
2005-05-20,10.9563
2005-05-23,10.962
2005-05-24,10.9653
2005-05-25,10.9338
2005-05-26,10.9525
2005-05-27,10.8768
2005-05-30,10.8701
2005-05-31,10.879
2005-06-01,10.8198
2005-06-02,10.8
2005-06-03,10.8513
2005-06-06,10.8818
2005-06-07,10.8838
2005-06-08,10.8695
2005-06-09,10.8842
2005-06-10,10.8623
2005-06-13,10.851
2005-06-14,10.8307
2005-06-15,10.8015
2005-06-16,10.7873
2005-06-17,10.8183
2005-06-20,10.8213
2005-06-21,10.7674
2005-06-22,10.763
2005-06-23,10.7858
2005-06-24,10.7638
2005-06-27,10.8063
2005-06-28,10.8035
2005-06-29,10.742
2005-06-30,10.749
2005-07-01,10.7309
2005-07-04,10.7435
2005-07-05,10.774
2005-07-06,10.7795
2005-07-07,10.7755
2005-07-08,10.7397
2005-07-11,10.6758
2005-07-12,10.7125
2005-07-13,10.6614
2005-07-14,10.6658
2005-07-15,10.6118
2005-07-18,10.6158
2005-07-19,10.6065
2005-07-20,10.6274
2005-07-21,10.6233
2005-07-22,10.6477
2005-07-25,10.7468
2005-07-26,10.683
2005-07-27,10.658
2005-07-28,10.609
2005-07-29,10.5949
2005-08-01,10.59
2005-08-02,10.6145
2005-08-03,10.5808
2005-08-04,10.5793
2005-08-05,10.6088
2005-08-08,10.6538
2005-08-09,10.6187
2005-08-10,10.579
2005-08-11,10.6035
2005-08-12,10.6438
2005-08-15,10.5878
2005-08-16,10.6037
2005-08-17,10.6337
2005-08-18,10.71
2005-08-19,10.7688
2005-08-22,10.7372
2005-08-23,10.8213
2005-08-24,10.909
2005-08-25,10.8005
2005-08-26,10.8478
2005-08-29,10.8495
2005-08-30,10.8265
2005-08-31,10.7512
2005-09-01,10.741
2005-09-02,10.6708
2005-09-05,10.671
2005-09-06,10.6818
2005-09-07,10.7355
2005-09-08,10.7303
2005-09-09,10.6848
2005-09-12,10.6935
2005-09-13,10.8038
2005-09-14,10.821
2005-09-15,10.8158
2005-09-16,10.8453
2005-09-19,10.8195
2005-09-20,10.8275
2005-09-21,10.8095
2005-09-22,10.842
2005-09-23,10.8439
2005-09-26,10.8713
2005-09-27,10.8848
2005-09-28,10.8518
2005-09-29,10.7975
2005-09-30,10.759
2005-10-03,10.7205
2005-10-04,10.7164
2005-10-05,10.7165
2005-10-06,10.8335
