DATE,US_SOY_NET_LONG
2012-10-02,213487.0
2012-10-09,207835.0
2012-10-16,204151.0
2012-10-23,204624.0
2012-10-30,182669.0
2012-11-06,177277.0
2012-11-13,148788.0
2012-11-20,132695.0
2012-11-27,122189.0
2012-12-04,122819.0
2012-12-11,131471.0
2012-12-18,137463.0
2012-12-25,114613.0
2013-01-01,109228.0
2013-01-08,80880.0
2013-01-15,79363.0
2013-01-22,89549.0
2013-01-29,92418.0
2013-02-05,113471.0
2013-02-12,125085.0
2013-02-19,111708.0
2013-02-26,128255.0
2013-03-05,123158.0
2013-03-12,133574.0
2013-03-19,110242.0
2013-03-26,110625.0
2013-04-02,96163.0
2013-04-09,70764.0
2013-04-16,81546.0
2013-04-23,77567.0
2013-04-30,79072.0
2013-05-07,61957.0
2013-05-14,71635.0
2013-05-21,82897.0
2013-05-28,93034.0
2013-06-04,109604.0
2013-06-11,122209.0
2013-06-18,101515.0
2013-06-25,109924.0
2013-07-02,103980.0
2013-07-09,104371.0
2013-07-16,111788.0
2013-07-23,104044.0
2013-07-30,80196.0
2013-08-06,56687.0
2013-08-13,60892.0
2013-08-20,105395.0
2013-08-27,139813.0
2013-09-03,165762.0
2013-09-10,152815.0
2013-09-17,159910.0
2013-09-24,145306.0
2013-10-01,131254.0
2013-10-08,129303.0
2013-10-15,136145.0
2013-10-22,139105.0
2013-10-29,129969.0
2013-11-05,111738.0
2013-11-12,129964.0
2013-11-19,143162.0
2013-11-26,154794.0
2013-12-03,159546.0
2013-12-10,173374.0
2013-12-17,176981.0
2013-12-24,175774.0
2013-12-31,165789.0
2014-01-07,142263.0
2014-01-14,153700.0
2014-01-21,158010.0
2014-01-28,152950.0
2014-02-04,165359.0
2014-02-11,189763.0
2014-02-18,199331.0
2014-02-25,211816.0
2014-03-04,210364.0
2014-03-11,195557.0
2014-03-18,187912.0
2014-03-25,176363.0
2014-04-01,181519.0
2014-04-08,163648.0
2014-04-15,166501.0
2014-04-22,139763.0
2014-04-29,158859.0
2014-05-06,130420.0
2014-05-13,126780.0
2014-05-20,116898.0
2014-05-27,124058.0
2014-06-03,102289.0
2014-06-10,81082.0
2014-06-17,48438.0
2014-06-24,37404.0
2014-07-01,17121.0
2014-07-08,4478.0
2014-07-15,-118.0
2014-07-22,-5652.0
2014-07-29,-3755.0
2014-08-05,-6404.0
2014-08-12,2835.0
2014-08-19,750.0
2014-08-26,-9712.0
2014-09-02,-13720.0
2014-09-09,-22680.0
2014-09-16,-31642.0
2014-09-23,-31120.0
2014-09-30,-24366.0
2014-10-07,-16171.0
2014-10-14,-7088.0
2014-10-21,6647.0
2014-10-28,-737.0
2014-11-04,13292.0
2014-11-11,25115.0
2014-11-18,19699.0
2014-11-25,19242.0
2014-12-02,1430.0
2014-12-09,22502.0
2014-12-16,22276.0
2014-12-23,19963.0
2014-12-30,30225.0
2015-01-06,32409.0
2015-01-13,13146.0
2015-01-20,-7740.0
2015-01-27,-33483.0
2015-02-03,-26242.0
2015-02-10,-41113.0
2015-02-17,-28605.0
2015-02-24,-13066.0
2015-03-03,4711.0
2015-03-10,-8393.0
2015-03-17,-10525.0
2015-03-24,-8576.0
2015-03-31,-14286.0
2015-04-07,-11038.0
2015-04-14,-37215.0
2015-04-21,-10748.0
2015-04-28,-3884.0
2015-05-05,-943.0
2015-05-12,-7424.0
2015-05-19,-45851.0
2015-05-26,-54954.0
2015-06-02,-48829.0
2015-06-09,-38081.0
2015-06-16,-19912.0
2015-06-23,30218.0
2015-06-30,80116.0
2015-07-07,98593.0
2015-07-14,107046.0
2015-07-21,113921.0
2015-07-28,91971.0
2015-08-04,87803.0
2015-08-11,104383.0
2015-08-18,67576.0
2015-08-25,46911.0
2015-09-01,30716.0
2015-09-08,34825.0
2015-09-15,27057.0
2015-09-22,17552.0
2015-09-29,39917.0
2015-10-06,43688.0
2015-10-13,63133.0
2015-10-20,64140.0
2015-10-27,23803.0
2015-11-03,1243.0
2015-11-10,-28945.0
2015-11-17,-27086.0
2015-11-24,-36059.0
2015-12-01,-26208.0
2015-12-08,-10780.0
2015-12-15,-26187.0
2015-12-22,-34481.0
2015-12-29,-60283.0
2016-01-05,-78915.0
2016-01-12,-65498.0
2016-01-19,-39094.0
2016-01-26,-40504.0
2016-02-02,-40527.0
