yearRun,MonthRun,Season,LaNinaProb,NeutralProb,ElNinoProb,ForecastDate
2022,7,JAS,60,39,1,2022-09-01
2022,7,ASO,62,36,2,2022-10-01
2022,7,SON,63,35,2,2022-11-01
2022,7,OND,66,32,2,2022-12-01
2022,7,NDJ,65,32,3,2023-01-01
2022,7,DJF,56,39,5,2023-02-01
2022,7,JFM,45,48,7,2023-03-01
2022,7,FMA,34,58,8,2023-04-01
2022,8,JAS,86,14,0,2022-09-01
2022,8,ASO,80,20,0,2022-10-01
2022,8,SON,80,20,0,2022-11-01
2022,8,OND,79,20,1,2022-12-01
2022,8,NDJ,72,27,1,2023-01-01
2022,8,DJF,60,36,4,2023-02-01
2022,8,JFM,47,47,6,2023-03-01
2022,8,FMA,32,59,9,2023-04-01
2022,8,MAM,18,68,14,2023-05-01
2022,9,ASO,97,3,0,2022-10-01
2022,9,SON,91,9,0,2022-11-01
2022,9,OND,89,11,0,2022-12-01
2022,9,NDJ,80,20,0,2023-01-01
2022,9,DJF,65,33,2,2023-02-01
2022,9,JFM,54,43,3,2023-03-01
2022,9,FMA,38,56,6,2023-04-01
2022,9,MAM,22,67,11,2023-05-01
2022,9,AMJ,16,67,17,2023-06-01
2022,10,SON,100,0,0,2022-11-01
2022,10,OND,95,5,0,2022-12-01
2022,10,NDJ,86,14,0,2023-01-01
2022,10,DJF,75,25,0,2023-02-01
2022,10,JFM,59,39,2,2023-03-01
2022,10,FMA,43,54,3,2023-04-01
2022,10,MAM,26,67,7,2023-05-01
2022,10,AMJ,16,69,15,2023-06-01
2022,10,MJJ,12,62,26,2023-07-01
2022,11,OND,100,0,0,2022-12-01
2022,11,NDJ,92,8,0,2023-01-01
2022,11,DJF,76,24,0,2023-02-01
2022,11,JFM,59,40,1,2023-03-01
2022,11,FMA,40,57,3,2023-04-01
2022,11,MAM,24,70,6,2023-05-01
2022,11,AMJ,13,72,15,2023-06-01
2022,11,MJJ,10,64,26,2023-07-01
2022,11,JJA,9,54,37,2023-08-01
2022,12,NDJ,99,1,0,2023-01-01
2022,12,DJF,77,23,0,2023-02-01
2022,12,JFM,50,50,0,2023-03-01
2022,12,FMA,26,71,3,2023-04-01
2022,12,MAM,14,78,8,2023-05-01
2022,12,AMJ,9,71,20,2023-06-01
2022,12,MJJ,8,60,32,2023-07-01
2022,12,JJA,8,52,40,2023-08-01
2022,12,JAS,9,42,49,2023-09-01
2023,1,DJF,95,5,0,2023-02-01
2023,1,JFM,60,40,0,2023-03-01
2023,1,FMA,27,73,0,2023-04-01
2023,1,MAM,14,82,4,2023-05-01
2023,1,AMJ,10,74,16,2023-06-01
2023,1,MJJ,10,62,28,2023-07-01
2023,1,JJA,10,51,39,2023-08-01
2023,1,JAS,10,44,46,2023-09-01
2023,1,ASO,11,38,51,2023-10-01
2023,2,JFM,63,37,0,2023-03-01
2023,2,FMA,15,85,0,2023-04-01
2023,2,MAM,5,94,1,2023-05-01
2023,2,AMJ,3,82,15,2023-06-01
2023,2,MJJ,3,61,36,2023-07-01
2023,2,JJA,4,47,49,2023-08-01
2023,2,JAS,5,38,57,2023-09-01
2023,2,ASO,6,34,60,2023-10-01
2023,2,SON,7,31,62,2023-11-01
2023,3,FMA,4,96,0,2023-04-01
2023,3,MAM,2,96,2,2023-05-01
2023,3,AMJ,2,83,15,2023-06-01
2023,3,MJJ,2,62,36,2023-07-01
2023,3,JJA,3,49,48,2023-08-01
2023,3,JAS,4,40,56,2023-09-01
2023,3,ASO,4,35,61,2023-10-01
2023,3,SON,5,33,62,2023-11-01
2023,3,OND,6,31,63,2023-12-01
2023,4,MAM,0,99,1,2023-05-01
2023,4,AMJ,0,70,30,2023-06-01
2023,4,MJJ,0,38,62,2023-07-01
2023,4,JJA,0,25,75,2023-08-01
2023,4,JAS,1,19,80,2023-09-01
2023,4,ASO,1,17,82,2023-10-01
2023,4,SON,1,15,84,2023-11-01
2023,4,OND,1,13,86,2023-12-01
2023,4,NDJ,1,12,87,2024-01-01
2023,5,AMJ,0,62,38,2023-06-01
2023,5,MJJ,0,18,82,2023-07-01
2023,5,JJA,0,11,89,2023-08-01
2023,5,JAS,0,9,91,2023-09-01
2023,5,ASO,0,7,93,2023-10-01
2023,5,SON,0,6,94,2023-11-01
2023,5,OND,0,6,94,2023-12-01
2023,5,NDJ,0,6,94,2024-01-01
2023,5,DJF,0,7,93,2024-02-01
2023,6,MJJ,0,14,86,2023-07-01
2023,6,JJA,0,7,93,2023-08-01
2023,6,JAS,0,6,94,2023-09-01
2023,6,ASO,0,5,95,2023-10-01
2023,6,SON,0,4,96,2023-11-01
2023,6,OND,0,4,96,2023-12-01
2023,6,NDJ,0,4,96,2024-01-01
2023,6,DJF,0,4,96,2024-02-01
2023,6,JFM,0,7,93,2024-03-01
2023,7,JJA,0,3,97,2023-08-01
2023,7,JAS,0,4,96,2023-09-01
2023,7,ASO,0,4,96,2023-10-01
2023,7,SON,0,4,96,2023-11-01
2023,7,OND,0,4,96,2023-12-01
2023,7,NDJ,0,4,96,2024-01-01
2023,7,DJF,0,7,93,2024-02-01
2023,7,JFM,0,10,90,2024-03-01
2023,7,FMA,0,15,85,2024-04-01
2023,8,JAS,0,0,100,2023-09-01
2023,8,ASO,0,1,99,2023-10-01
2023,8,SON,0,1,99,2023-11-01
2023,8,OND,0,1,99,2023-12-01
2023,8,NDJ,0,1,99,2024-01-01
2023,8,DJF,0,3,97,2024-02-01
2023,8,JFM,0,6,94,2024-03-01
2023,8,FMA,0,10,90,2024-04-01
2023,8,MAM,0,18,82,2024-05-01
2023,9,ASO,0,0,100,2023-10-01
2023,9,SON,0,0,100,2023-11-01
2023,9,OND,0,0,100,2023-12-01
2023,9,NDJ,0,0,100,2024-01-01
2023,9,DJF,0,1,99,2024-02-01
2023,9,JFM,0,4,96,2024-03-01
2023,9,FMA,0,11,89,2024-04-01
2023,9,MAM,0,22,78,2024-05-01
2023,9,AMJ,1,39,60,2024-06-01
2023,10,SON,0,0,100,2023-11-01
2023,10,OND,0,0,100,2023-12-01
2023,10,NDJ,0,0,100,2024-01-01
2023,10,DJF,0,1,99,2024-02-01
2023,10,JFM,0,3,97,2024-03-01
2023,10,FMA,0,9,91,2024-04-01
2023,10,MAM,0,20,80,2024-05-01
2023,10,AMJ,1,38,61,2024-06-01
2023,10,MJJ,6,53,41,2024-07-01
2023,11,OND,0,0,100,2023-12-01
2023,11,NDJ,0,0,100,2024-01-01
2023,11,DJF,0,0,100,2024-02-01
2023,11,JFM,0,1,99,2024-03-01
2023,11,FMA,0,3,97,2024-04-01
2023,11,MAM,0,12,88,2024-05-01
2023,11,AMJ,1,37,62,2024-06-01
2023,11,MJJ,5,55,40,2024-07-01
2023,11,JJA,15,58,27,2024-08-01
2023,12,NDJ,0,0,100,2024-01-01
2023,12,DJF,0,0,100,2024-02-01
2023,12,JFM,0,0,100,2024-03-01
2023,12,FMA,0,3,97,2024-04-01
2023,12,MAM,0,25,75,2024-05-01
2023,12,AMJ,3,60,37,2024-06-01
2023,12,MJJ,15,65,20,2024-07-01
2023,12,JJA,32,56,12,2024-08-01
2023,12,JAS,44,45,11,2024-09-01
2024,1,DJF,0,0,100,2024-02-01
2024,1,JFM,0,0,100,2024-03-01
2024,1,FMA,0,6,94,2024-04-01
2024,1,MAM,0,47,53,2024-05-01
2024,1,AMJ,7,73,20,2024-06-01
2024,1,MJJ,27,63,10,2024-07-01
2024,1,JJA,47,46,7,2024-08-01
2024,1,JAS,58,36,6,2024-09-01
2024,1,ASO,64,30,6,2024-10-01
2024,2,JFM,0,0,100,2024-03-01
2024,2,FMA,0,0,100,2024-04-01
2024,2,MAM,0,25,75,2024-05-01
2024,2,AMJ,2,79,19,2024-06-01
2024,2,MJJ,26,68,6,2024-07-01
2024,2,JJA,55,42,3,2024-08-01
2024,2,JAS,68,30,2,2024-09-01
2024,2,ASO,74,24,2,2024-10-01
2024,2,SON,77,20,3,2024-11-01
2024,3,FMA,0,0,100,2024-04-01
2024,3,MAM,0,26,74,2024-05-01
2024,3,AMJ,3,83,14,2024-06-01
2024,3,MJJ,32,65,3,2024-07-01
2024,3,JJA,62,37,1,2024-08-01
2024,3,JAS,75,24,1,2024-09-01
2024,3,ASO,82,17,1,2024-10-01
2024,3,SON,85,14,1,2024-11-01
2024,3,OND,85,14,1,2024-12-01
2024,4,MAM,0,5,95,2024-05-01
2024,4,AMJ,0,85,15,2024-06-01
2024,4,MJJ,26,72,2,2024-07-01
2024,4,JJA,60,39,1,2024-08-01
2024,4,JAS,73,26,1,2024-09-01
2024,4,ASO,80,19,1,2024-10-01
2024,4,SON,83,16,1,2024-11-01
2024,4,OND,86,13,1,2024-12-01
2024,4,NDJ,85,14,1,2025-01-01
2024,5,AMJ,0,79,21,2024-06-01
2024,5,MJJ,11,87,2,2024-07-01
2024,5,JJA,49,50,1,2024-08-01
2024,5,JAS,69,30,1,2024-09-01
2024,5,ASO,77,22,1,2024-10-01
2024,5,SON,83,16,1,2024-11-01
2024,5,OND,85,14,1,2024-12-01
2024,5,NDJ,87,12,1,2025-01-01
2024,5,DJF,85,14,1,2025-02-01
2024,6,MJJ,2,97,1,2024-07-01
2024,6,JJA,39,60,1,2024-08-01
2024,6,JAS,65,34,1,2024-09-01
2024,6,ASO,75,24,1,2024-10-01
2024,6,SON,81,18,1,2024-11-01
2024,6,OND,84,15,1,2024-12-01
2024,6,NDJ,85,14,1,2025-01-01
2024,6,DJF,81,18,1,2025-02-01
2024,6,JFM,73,26,1,2025-03-01
2024,7,JJA,13,85,2,2024-08-01
2024,7,JAS,48,50,2,2024-09-01
2024,7,ASO,70,29,1,2024-10-01
2024,7,SON,78,21,1,2024-11-01
2024,7,OND,81,18,1,2024-12-01
2024,7,NDJ,79,20,1,2025-01-01
2024,7,DJF,74,24,2,2025-02-01
2024,7,JFM,66,32,2,2025-03-01
2024,7,FMA,48,48,4,2025-04-01
2024,8,JAS,16,83,1,2024-09-01
2024,8,ASO,49,50,1,2024-10-01
2024,8,SON,66,33,1,2024-11-01
2024,8,OND,72,27,1,2024-12-01
