Date,IOD
2008-03-10,-1.359665
2008-03-17,-1.4667
2008-03-24,-1.912538
2008-03-31,-2.037418
2008-04-07,-1.700088
2008-04-14,-1.774266
2008-04-21,-1.70244
2008-04-28,-1.986819
2008-05-05,-1.165269
2008-05-12,-0.682819
2008-05-19,-0.443951
2008-05-26,0.021866
2008-06-02,0.600612
2008-06-09,0.743847
2008-06-16,0.812978
2008-06-23,0.732229
2008-06-30,0.788574
2008-07-07,0.717236
2008-07-14,0.825928
2008-07-21,0.511586
2008-07-28,0.344978
2008-08-04,-0.41467
2008-08-11,-0.357471
2008-08-18,-0.043184
2008-08-25,0.083993
2008-09-01,-0.244474
2008-09-08,-0.437141
2008-09-15,-0.539209
2008-09-22,-0.357933
2008-09-29,-0.192389
2008-10-06,0.02411
2008-10-13,-0.055845
2008-10-20,-0.373264
2008-10-27,-0.631678
2008-11-03,-0.467639
2008-11-10,-0.517116
2008-11-17,-0.631572
2008-11-24,-0.975286
2008-12-01,-0.872649
2008-12-08,-0.940932
2008-12-15,-0.89466
2008-12-22,-0.62658
2008-12-29,-0.479922
2009-01-05,-0.764632
2009-01-12,-0.399456
2009-01-19,-0.067865
2009-01-26,0.17669
2009-02-02,0.011913
2009-02-09,0.058359
2009-02-16,0.020363
2009-02-23,0.021726
2009-03-02,-0.009161
2009-03-09,-0.255069
2009-03-16,-0.358607
2009-03-23,-0.491835
2009-03-30,-0.530993
2009-04-06,0.027922
2009-04-13,-0.214785
2009-04-20,-0.664203
2009-04-27,-0.912796
2009-05-04,-0.343835
2009-05-11,-0.291812
2009-05-18,-0.240717
2009-05-25,-0.428169
2009-06-01,-0.352705
2009-06-08,-0.372812
2009-06-15,-0.255757
2009-06-22,-0.07266
2009-06-29,0.149375
2009-07-06,-0.127793
2009-07-13,0.006144
2009-07-20,0.242229
2009-07-27,0.42121
2009-08-03,-0.019647
2009-08-10,0.014468
2009-08-17,-0.23721
2009-08-24,-0.342227
2009-08-31,-0.302881
2009-09-07,-0.371401
2009-09-14,-0.260333
2009-09-21,-0.36373
2009-09-28,-0.510504
2009-10-05,-0.296628
2009-10-12,-0.250983
2009-10-19,-0.23225
2009-10-26,-0.073477
2009-11-02,0.367729
2009-11-09,0.392767
2009-11-16,-0.0842
2009-11-23,-0.470846
2009-11-30,-0.635307
2009-12-07,-0.498563
2009-12-14,-0.2967
2009-12-21,-0.056961
2009-12-28,0.061275
2010-01-04,-0.388848
2010-01-11,-0.515105
2010-01-18,-0.391772
2010-01-25,-0.113171
2010-02-01,-0.014519
2010-02-08,0.338191
2010-02-15,0.647365
2010-02-22,0.678463
2010-03-01,0.765147
2010-03-08,0.669896
2010-03-15,0.487105
2010-03-22,0.170553
2010-03-29,-0.024363
2010-04-05,0.276543
2010-04-12,0.107043
2010-04-19,-0.084025
2010-04-26,-0.177954
2010-05-03,0.456329
2010-05-10,0.293531
2010-05-17,-0.058332
2010-05-24,-0.313761
2010-05-31,-0.154065
2010-06-07,0.213894
2010-06-14,0.403843
2010-06-21,0.523732
2010-06-28,0.708363
2010-07-05,0.213283
2010-07-12,0.024949
2010-07-19,0.009095
2010-07-26,0.056486
2010-08-02,-0.505657
2010-08-09,-0.56432
2010-08-16,-0.66613
2010-08-23,-0.930102
2010-08-30,-1.157731
2010-09-06,-1.279349
2010-09-13,-1.211742
2010-09-20,-1.343755
2010-09-27,-1.57212
2010-10-04,-1.872977
2010-10-11,-2.088856
2010-10-18,-2.27512
2010-10-25,-2.228511
2010-11-01,-1.836742
2010-11-08,-1.984545
2010-11-15,-2.068461
2010-11-22,-2.18311
2010-11-29,-2.363107
2010-12-06,-2.555343
2010-12-13,-2.588832
2010-12-20,-2.623029
2010-12-27,-2.695843
2011-01-03,-3.182758
2011-01-10,-3.296357
2011-01-17,-3.169202
2011-01-24,-2.751856
2011-01-31,-2.278139
2011-02-07,-2.549751
2011-02-14,-2.43429
2011-02-21,-2.259607
2011-02-28,-2.072744
2011-03-07,-1.951857
2011-03-14,-1.959995
2011-03-21,-2.138279
2011-03-28,-2.087916
2011-04-04,-1.605329
2011-04-11,-1.656143
2011-04-18,-1.528222
2011-04-25,-1.413778
2011-05-02,-1.099815
2011-05-09,-1.16818
2011-05-16,-1.178422
2011-05-23,-0.978624
2011-05-30,-0.784895
2011-06-06,-0.534042
2011-06-13,-0.301019
2011-06-20,-0.046197
2011-06-27,0.062549
2011-07-04,-0.133001
2011-07-11,-0.315453
2011-07-18,-0.408296
2011-07-25,-0.17024
2011-08-01,-0.412096
2011-08-08,-0.071436
2011-08-15,0.0909
2011-08-22,0.269571
2011-08-29,0.436848
2011-09-05,0.481409
2011-09-12,0.592996
2011-09-19,0.560028
2011-09-26,0.518419
2011-10-03,0.605344
2011-10-10,0.360913
2011-10-17,0.418606
2011-10-24,0.496763
2011-10-31,0.370838
2011-11-07,0.580446
2011-11-14,0.595429
2011-11-21,0.652231
2011-11-28,0.625567
2011-12-05,0.411713
2011-12-12,0.01843
2011-12-19,-0.161756
2011-12-26,-0.480282
2012-01-02,-1.1236
2012-01-09,-1.17553
2012-01-16,-1.031158
2012-01-23,-0.790055
2012-01-30,-0.591419
2012-02-06,-0.81896
2012-02-13,-0.432319
2012-02-20,-0.448393
2012-02-27,-0.533699
2012-03-05,-0.666421
2012-03-12,-1.050734
2012-03-19,-1.461676
2012-03-26,-1.572156
2012-04-02,-1.032092
2012-04-09,-0.926366
2012-04-16,-0.886145
2012-04-23,-0.935686
2012-04-30,-1.303517
2012-05-07,-0.787409
2012-05-14,-0.839181
2012-05-21,-0.80181
2012-05-28,-0.744104
2012-06-04,-0.720356
2012-06-11,-0.696357
2012-06-18,-0.671224
2012-06-25,-0.414466
2012-07-02,-0.420817
2012-07-09,-0.226394
2012-07-16,-0.157646
2012-07-23,-0.132794
2012-07-30,-0.041925
2012-08-06,-0.367035
2012-08-13,-0.075517
2012-08-20,0.185519
2012-08-27,0.22479
2012-09-03,0.136897
2012-09-10,0.132689
2012-09-17,0.124444
2012-09-24,0.178022
2012-10-01,0.250589
2012-10-08,0.101342
2012-10-15,-0.145723
2012-10-22,-0.154649
2012-10-29,-0.216059
2012-11-05,-0.068799
2012-11-12,-0.083643
2012-11-19,-0.241044
2012-11-26,-0.346956
2012-12-03,-0.517356
2012-12-10,-0.508393
2012-12-17,-0.324333
2012-12-24,-0.294916
2012-12-31,-0.608312
2013-01-07,-1.332747
2013-01-14,-1.541485
2013-01-21,-1.399256
2013-01-28,-1.057486
2013-02-04,-1.076014
2013-02-11,-0.818643
2013-02-18,-0.67471
2013-02-25,-0.562871
2013-03-04,-0.704097
2013-03-11,-0.652912
2013-03-18,-0.510294
2013-03-25,-0.358353
2013-04-08,-0.673457
2013-04-15,-0.851822
2013-04-22,-0.750573
2013-04-29,-0.969935
2013-05-06,-0.736155
2013-05-13,-1.14831
2013-05-20,-1.724461
2013-05-27,-1.657587
2013-06-03,-1.168178
2013-06-10,-0.889291
2013-06-17,-0.75827
2013-06-24,-0.678665
2013-07-01,-0.909862
2013-07-08,-0.780119
2013-07-15,-0.616671
2013-07-22,-0.352396
2013-07-29,-0.22133
2013-08-05,-0.673998
2013-08-12,-0.792
2013-08-19,-0.891778
2013-08-26,-0.808701
2013-09-02,-0.945088
2013-09-16,-1.327441
2013-09-23,-1.285304
2013-09-30,-1.348677
2013-10-07,-1.111007
2013-10-14,-0.945042
2013-10-21,-0.871592
2013-10-28,-0.860476
2013-11-04,-0.402803
2013-11-11,-0.287076
2013-11-18,-0.073267
2013-11-25,-0.046591
2013-12-02,-0.033809
2013-12-09,-0.131623
2013-12-16,-0.429123
2013-12-23,-0.588583
2013-12-30,-0.404661
2014-01-06,-0.542931
2014-01-13,-0.284453
2014-01-20,-0.033376
2014-01-27,0.178066
2014-02-03,-0.006052
2014-02-10,0.138643
2014-02-17,0.183588
2014-02-24,0.222894
2014-03-03,0.406634
2014-03-10,0.539701
2014-03-17,0.510116
2014-03-24,0.465171
2014-03-31,0.348106
