DATE,BR_SOJA3_PRICE
2023-12-19,15.83
2023-12-20,15.9
2023-12-21,15.5
2023-12-22,15.57
2023-12-26,15.9
2023-12-27,16.31
2023-12-28,16.23
2024-01-02,15.79
2024-01-03,15.96
2024-01-04,15.68
2024-01-05,15.66
2024-01-08,15.47
2024-01-09,15.9
2024-01-10,15.67
2024-01-11,15.93
2024-01-12,15.78
2024-01-15,16.09
2024-01-16,16.05
2024-01-17,16.12
2024-01-18,16.2
2024-01-19,16.4
2024-01-22,16.29
2024-01-23,16.18
2024-01-24,16.2
2024-01-25,16.34
2024-01-26,15.8
2024-01-29,15.46
2024-01-30,14.88
2024-01-31,14.85
2024-02-01,15.37
2024-02-02,15.43
2024-02-05,14.82
2024-02-06,15.04
2024-02-07,15.9
2024-02-08,15.44
2024-02-09,15.55
2024-02-14,15.18
2024-02-15,15.15
2024-02-16,15.57
2024-02-19,15.29
2024-02-20,15.6
2024-02-21,15.42
2024-02-22,15.38
2024-02-23,15.16
2024-02-26,15.18
2024-02-27,15.3
2024-02-28,15.29
2024-02-29,15.3
2024-03-01,15.06
2024-03-04,15.22
2024-03-05,15.22
2024-03-06,15.06
2024-03-07,14.75
2024-03-08,15.04
2024-03-11,15.4
2024-03-12,17.29
2024-03-13,17.71
2024-03-14,17.7
2024-03-15,17.69
2024-03-18,17.74
2024-03-19,18.11
2024-03-20,18.15
2024-03-21,18.59
2024-03-22,18.15
2024-03-25,17.49
2024-03-26,16.88
2024-03-27,17.3
2024-03-28,18.3
2024-04-01,18.4
2024-04-02,18.67
2024-04-03,18.09
2024-04-04,17.75
2024-04-05,17.7
2024-04-08,17.07
2024-04-09,17.4
2024-04-10,16.9
2024-04-11,16.69
2024-04-12,16.7
2024-04-15,16.58
2024-04-16,16.58
2024-04-17,16.62
2024-04-18,16.61
2024-04-19,16.95
2024-04-22,17.6
2024-04-23,18.11
2024-04-24,18.56
2024-04-25,18.34
2024-04-26,18.32
2024-04-29,18.42
2024-04-30,18.19
2024-05-02,18.06
2024-05-03,18.15
2024-05-06,18.3
2024-05-07,18.5
2024-05-08,18.94
2024-05-09,18.8
2024-05-10,17.97
2024-05-13,17.59
2024-05-14,17.43
2024-05-15,17.59
2024-05-16,17.65
2024-05-17,17.2
2024-05-20,17.02
2024-05-21,16.93
2024-05-22,16.66
2024-05-23,16.6
2024-05-24,16.53
2024-05-27,16.67
2024-05-28,16.55
2024-05-29,16.49
2024-05-31,16.33
2024-06-03,16.0
2024-06-04,15.83
2024-06-05,15.56
2024-06-06,15.6
2024-06-07,15.0
2024-06-10,14.82
2024-06-11,14.98
2024-06-12,14.68
2024-06-13,14.52
2024-06-14,14.59
2024-06-17,14.69
2024-06-18,15.04
2024-06-19,14.8
2024-06-20,14.43
2024-06-21,14.39
2024-06-24,14.72
2024-06-25,14.2
2024-06-26,14.33
2024-06-27,14.71
2024-06-28,14.8
2024-07-01,14.9
2024-07-02,14.84
2024-07-03,15.14
2024-07-04,15.19
2024-07-05,15.12
2024-07-08,15.23
2024-07-09,15.2
2024-07-10,15.22
2024-07-11,15.64
2024-07-12,15.51
2024-07-15,15.52
2024-07-16,15.7
2024-07-17,15.51
2024-07-18,15.27
2024-07-19,15.39
2024-07-22,15.61
2024-07-23,15.35
2024-07-24,15.16
2024-07-25,15.23
2024-07-26,15.27
2024-07-29,15.02
2024-07-30,15.02
2024-07-31,14.99
2024-08-01,14.91
2024-08-02,14.9
2024-08-05,14.26
2024-08-06,14.27
2024-08-07,14.44
2024-08-08,14.29
2024-08-09,13.92
2024-08-12,13.58
2024-08-13,13.34
2024-08-14,13.87
2024-08-15,13.96
2024-08-16,13.7
2024-08-19,13.77
2024-08-20,13.85
2024-08-21,13.49
2024-08-22,12.76
2024-08-23,13.33
2024-08-26,13.41
2024-08-27,13.58
2024-08-28,13.32
2024-08-29,12.75
2024-08-30,12.85
2024-09-02,13.04
2024-09-03,12.85
2024-09-04,13.0
2024-09-05,12.85
2024-09-06,12.6
2024-09-09,12.54
2024-09-10,12.68
2024-09-11,12.7
2024-09-12,12.66
2024-09-13,12.85
2024-09-16,12.8
2024-09-17,12.87
2024-09-18,12.75
2024-09-19,12.35
2024-09-20,12.02
2024-09-23,11.98
2024-09-24,11.94
2024-09-25,11.6
2024-09-26,11.71
2024-09-27,12.0
2024-09-30,11.79
2024-10-01,11.85
2024-10-02,11.9
2024-10-03,11.98
2024-10-04,11.98
2024-10-07,12.37
2024-10-08,12.09
2024-10-09,12.32
2024-10-10,11.9
2024-10-11,12.25
2024-10-14,12.17
2024-10-15,12.1
2024-10-16,12.36
2024-10-17,12.1
2024-10-18,11.99
2024-10-21,11.77
2024-10-22,11.82
2024-10-23,11.91
2024-10-24,12.05
2024-10-25,12.14
2024-10-28,12.34
2024-10-29,12.35
2024-10-30,12.38
2024-10-31,12.45
2024-11-01,12.21
2024-11-04,12.83
2024-11-05,13.12
2024-11-06,13.32
2024-11-07,12.5
2024-11-08,12.27
2024-11-11,12.54
2024-11-12,12.7
2024-11-13,12.04
2024-11-14,11.63
2024-11-18,11.78
2024-11-19,11.62
2024-11-21,11.6
2024-11-22,11.75
2024-11-25,11.67
2024-11-26,11.65
2024-11-27,11.46
2024-11-28,10.85
2024-11-29,11.24
2024-12-02,10.94
2024-12-03,10.87
2024-12-04,10.94
2024-12-05,11.08
2024-12-06,10.68
2024-12-09,10.49
2024-12-10,10.72
2024-12-11,10.9
2024-12-12,10.54
2024-12-13,10.48
2024-12-16,10.53
2024-12-17,10.63
2024-12-18,10.25
2024-12-19,10.32
2024-12-20,10.61
2024-12-23,10.41
2024-12-26,10.31
2024-12-27,10.2
2024-12-30,10.4
2025-01-02,10.1
2025-01-03,9.87
2025-01-06,10.08
2025-01-07,10.09
2025-01-08,10.21
2025-01-09,10.41
2025-01-10,10.35
2025-01-13,10.49
2025-01-14,10.65
2025-01-15,10.73
2025-01-16,10.19
2025-01-17,10.2
2025-01-20,10.25
2025-01-21,10.41
2025-01-22,10.01
2025-01-23,10.18
2025-01-24,10.15
2025-01-27,10.37
2025-01-28,10.45
2025-01-29,10.42
2025-01-30,10.87
2025-01-31,10.77
2025-02-03,10.4
2025-02-04,10.42
2025-02-05,10.15
2025-02-06,10.11
2025-02-07,10.06
2025-02-10,10.17
2025-02-11,10.37
2025-02-12,10.3
2025-02-13,10.52
2025-02-14,10.99
2025-02-17,11.08
2025-02-18,10.78
2025-02-19,10.3
2025-02-20,10.43
2025-02-21,10.56
2025-02-24,10.25
2025-02-25,10.21
2025-02-26,10.08
2025-02-27,10.05
2025-02-28,10.03
2025-03-05,10.25
2025-03-06,10.26
2025-03-07,10.5
2025-03-10,10.32
2025-03-11,10.28
2025-03-12,10.31
2025-03-13,10.31
2025-03-14,10.32
2025-03-17,10.65
2025-03-18,10.86
2025-03-19,10.61
2025-03-20,10.65
2025-03-21,10.69
2025-03-24,10.55
2025-03-25,10.55
