DATE,US_SUGAR_NET_LONG
2010-10-12,153105.0
2010-10-19,160660.0
2010-10-26,156994.0
2010-11-02,161217.0
2010-11-09,150462.0
2010-11-16,147567.0
2010-11-23,147170.0
2010-11-30,150486.0
2010-12-07,150542.0
2010-12-14,152492.0
2010-12-21,174756.0
2010-12-28,177452.0
2011-01-04,175319.0
2011-01-11,174355.0
2011-01-18,165412.0
2011-01-25,168104.0
2011-02-01,182096.0
2011-02-08,171756.0
2011-02-15,160400.0
2011-02-22,162325.0
2011-03-01,161363.0
2011-03-08,179107.0
2011-03-15,158572.0
2011-03-22,142117.0
2011-03-29,146304.0
2011-04-05,147224.0
2011-04-12,131955.0
2011-04-19,116053.0
2011-04-26,113446.0
2011-05-03,121246.0
2011-05-10,126626.0
2011-05-17,115515.0
2011-05-24,113095.0
2011-05-31,107300.0
2011-06-07,112740.0
2011-06-14,126158.0
2011-06-21,142536.0
2011-06-28,138149.0
2011-07-05,141230.0
2011-07-12,148293.0
2011-07-19,152789.0
2011-07-26,163353.0
2011-08-02,160805.0
2011-08-09,143631.0
2011-08-16,128290.0
2011-08-23,142903.0
2011-08-30,135580.0
2011-09-06,129752.0
2011-09-13,134262.0
2011-09-20,125715.0
2011-09-27,99369.0
2011-10-04,93781.0
2011-10-11,92042.0
2011-10-18,112024.0
2011-10-25,118633.0
2011-11-01,114052.0
2011-11-08,99985.0
2011-11-15,75669.0
2011-11-22,58057.0
2011-11-29,51351.0
2011-12-06,54784.0
2011-12-13,57429.0
2011-12-20,41276.0
2011-12-27,38516.0
2012-01-03,50304.0
2012-01-10,47071.0
2012-01-17,47994.0
2012-01-24,74854.0
2012-01-31,81223.0
2012-02-07,68036.0
2012-02-14,76002.0
2012-02-21,87213.0
2012-02-28,132097.0
2012-03-06,128621.0
2012-03-13,105029.0
2012-03-20,125644.0
2012-03-27,135309.0
2012-04-03,119503.0
2012-04-10,124591.0
2012-04-17,99115.0
2012-04-24,82290.0
2012-05-01,71713.0
2012-05-08,60760.0
2012-05-15,59010.0
2012-05-22,69024.0
2012-05-29,69410.0
2012-06-05,71867.0
2012-06-12,69795.0
2012-06-19,67466.0
2012-06-26,75380.0
2012-07-03,82614.0
2012-07-10,112545.0
2012-07-17,119651.0
2012-07-24,135944.0
2012-07-31,134342.0
2012-08-07,123263.0
2012-08-14,99874.0
2012-08-21,74813.0
2012-08-28,75114.0
2012-09-04,61007.0
2012-09-11,54239.0
2012-09-18,41824.0
2012-09-25,43025.0
2012-10-02,57485.0
2012-10-09,85397.0
2012-10-16,71526.0
2012-10-23,62115.0
2012-10-30,49869.0
2012-11-06,35963.0
2012-11-13,29249.0
2012-11-20,32005.0
2012-11-27,28774.0
2012-12-04,36862.0
2012-12-11,30454.0
2012-12-18,34706.0
2012-12-25,44648.0
2013-01-01,52507.0
2013-01-08,44328.0
2013-01-15,39915.0
2013-01-22,17209.0
2013-01-29,25299.0
2013-02-05,25489.0
2013-02-12,10652.0
2013-02-19,-14800.0
2013-02-26,-1468.0
2013-03-05,2529.0
2013-03-12,34543.0
2013-03-19,40638.0
2013-03-26,17545.0
2013-04-02,-14106.0
2013-04-09,-24701.0
2013-04-16,-2073.0
2013-04-23,3685.0
2013-04-30,1311.0
2013-05-07,11182.0
2013-05-14,-4436.0
2013-05-21,-12930.0
2013-05-28,-2536.0
2013-06-04,3225.0
2013-06-11,-9619.0
2013-06-18,-18504.0
2013-06-25,1913.0
2013-07-02,21493.0
2013-07-09,10106.0
2013-07-16,-12354.0
2013-07-23,5153.0
2013-07-30,3751.0
2013-08-06,5889.0
2013-08-13,37151.0
2013-08-20,52116.0
2013-08-27,34117.0
2013-09-03,26726.0
2013-09-10,55817.0
2013-09-17,76850.0
2013-09-24,99133.0
2013-10-01,136992.0
2013-10-08,173070.0
2013-10-15,189412.0
2013-10-22,194570.0
2013-10-29,198212.0
2013-11-05,194493.0
2013-11-12,179050.0
2013-11-19,166455.0
2013-11-26,148647.0
2013-12-03,114256.0
2013-12-10,71279.0
2013-12-17,38815.0
2013-12-24,33967.0
2013-12-31,33289.0
2014-01-07,26886.0
2014-01-14,5128.0
2014-01-21,-901.0
2014-01-28,-6274.0
2014-02-04,14556.0
2014-02-11,16055.0
2014-02-18,24612.0
2014-02-25,82847.0
2014-03-04,119662.0
2014-03-11,146885.0
2014-03-18,153910.0
2014-03-25,152212.0
2014-04-01,161769.0
2014-04-08,164948.0
2014-04-15,158800.0
2014-04-22,163239.0
2014-04-29,169974.0
2014-05-06,168173.0
2014-05-13,176648.0
2014-05-20,190184.0
2014-05-27,164154.0
2014-06-03,168186.0
2014-06-10,143978.0
2014-06-17,113360.0
2014-06-24,181858.0
2014-07-01,177716.0
2014-07-08,138510.0
2014-07-15,101330.0
2014-07-22,80355.0
2014-07-29,60662.0
2014-08-05,48559.0
2014-08-12,37839.0
2014-08-19,24612.0
2014-08-26,36592.0
2014-09-02,43953.0
2014-09-09,40913.0
2014-09-16,14728.0
2014-09-23,8723.0
2014-09-30,9645.0
2014-10-07,16835.0
2014-10-14,14327.0
2014-10-21,15453.0
2014-10-28,12698.0
2014-11-04,6241.0
2014-11-11,8509.0
2014-11-18,14677.0
2014-11-25,33891.0
2014-12-02,6883.0
2014-12-09,-1872.0
2014-12-16,-11908.0
2014-12-23,-6889.0
2014-12-30,-12136.0
2015-01-06,-10599.0
2015-01-13,8433.0
2015-01-20,30386.0
2015-01-27,71408.0
2015-02-03,36467.0
2015-02-10,35594.0
2015-02-17,54366.0
2015-02-24,33302.0
2015-03-03,-6935.0
2015-03-10,1123.0
2015-03-17,-577.0
2015-03-24,-10616.0
2015-03-31,-16673.0
2015-04-07,-13535.0
2015-04-14,12909.0
2015-04-21,6728.0
2015-04-28,43219.0
2015-05-05,36015.0
2015-05-12,64631.0
2015-05-19,55497.0
2015-05-26,31290.0
2015-06-02,34992.0
2015-06-09,28412.0
2015-06-16,-11578.0
2015-06-23,-22352.0
2015-06-30,5777.0
2015-07-07,33595.0
2015-07-14,68376.0
2015-07-21,23044.0
2015-07-28,15143.0
2015-08-04,6572.0
