DATE,US_COTTON_NET_LONG
2011-04-05,21046.0
2011-04-12,24297.0
2011-04-19,19748.0
2011-04-26,20933.0
2011-05-03,24974.0
2011-05-10,27785.0
2011-05-17,29236.0
2011-05-24,29291.0
2011-05-31,30514.0
2011-06-07,27205.0
2011-06-14,31839.0
2011-06-21,26602.0
2011-06-28,25338.0
2011-07-05,26343.0
2011-07-12,25683.0
2011-07-19,28393.0
2011-07-26,31765.0
2011-08-02,30657.0
2011-08-09,30549.0
2011-08-16,28682.0
2011-08-23,33671.0
2011-08-30,32924.0
2011-09-06,31671.0
2011-09-13,33280.0
2011-09-20,28569.0
2011-09-27,21100.0
2011-10-04,20925.0
2011-10-11,22432.0
2011-10-18,22468.0
2011-10-25,17878.0
2011-11-01,21373.0
2011-11-08,21328.0
2011-11-15,19908.0
2011-11-22,12854.0
2011-11-29,12814.0
2011-12-06,15815.0
2011-12-13,10595.0
2011-12-20,7712.0
2011-12-27,6139.0
2012-01-03,15353.0
2012-01-10,18671.0
2012-01-17,17261.0
2012-01-24,24217.0
2012-01-31,23994.0
2012-02-07,20073.0
2012-02-14,14563.0
2012-02-21,13213.0
2012-02-28,5690.0
2012-03-06,8367.0
2012-03-13,4311.0
2012-03-20,3308.0
2012-03-27,9381.0
2012-04-03,16747.0
2012-04-10,8671.0
2012-04-17,1752.0
2012-04-24,8372.0
2012-05-01,8992.0
2012-05-08,3779.0
2012-05-15,-3622.0
2012-05-22,-7474.0
2012-05-29,-7715.0
2012-06-05,-10606.0
2012-06-12,-9137.0
2012-06-19,-5911.0
2012-06-26,-7817.0
2012-07-03,-4704.0
2012-07-10,-4415.0
2012-07-17,-3065.0
2012-07-24,-6402.0
2012-07-31,-11554.0
2012-08-07,-6152.0
2012-08-14,-5302.0
2012-08-21,-2645.0
2012-08-28,501.0
2012-09-04,5080.0
2012-09-11,5798.0
2012-09-18,2626.0
2012-09-25,-4504.0
2012-10-02,-16714.0
2012-10-09,-18050.0
2012-10-16,-10839.0
2012-10-23,7405.0
2012-10-30,104.0
2012-11-06,-13122.0
2012-11-13,-7783.0
2012-11-20,-48.0
2012-11-27,-250.0
2012-12-04,10031.0
2012-12-11,17288.0
2012-12-18,29912.0
2012-12-25,33943.0
2013-01-01,39290.0
2013-01-08,37102.0
2013-01-15,40697.0
2013-01-22,56074.0
2013-01-29,66397.0
2013-02-05,69646.0
2013-02-12,73050.0
2013-02-19,75367.0
2013-02-26,71662.0
2013-03-05,78189.0
2013-03-12,82905.0
